,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,24,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,03:17:46,
1,2.0,1,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,03:18:01,
2,3.0,11,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,03:18:01,
3,4.0,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,03:18:01,
4,5.0,22,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,03:18:07,
5,6.0,91,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,03:18:07,
6,7.0,61,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,03:18:07,
7,8.0,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,03:18:07,
8,9.0,43,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,03:18:07,
9,10.0,81,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,03:18:07,
10,11.0,23,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,03:18:10,
11,12.0,132,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,03:18:46,
12,13.0,25,HENDERSON,Anna,GBR,TEAM SUNWEB,W,22,,,03:18:46,
13,14.0,31,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,03:19:10,
14,15.0,85,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,03:19:10,
15,16.0,3,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,03:19:10,
16,17.0,21,GEORGI,Pfeiffer,GBR,TEAM SUNWEB,W,20,,,03:19:10,
17,18.0,82,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,03:19:10,
18,19.0,15,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,03:19:16,
19,20.0,122,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,03:19:58,
20,21.0,26,SOEK,Julia,NED,TEAM SUNWEB,W,30,,,03:19:58,
21,22.0,46,RYAN,Alexis,USA,CANYON / /SRAM RACING,W,26,,,03:19:58,
22,23.0,123,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,03:19:58,
23,24.0,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,03:19:58,
24,25.0,51,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,03:20:33,
25,26.0,106,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,03:20:36,
26,27.0,121,BARROW,Justine,AUS,ROXSOLT ATTAQUER,W,41,,,03:20:36,
27,28.0,83,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,03:20:36,
28,29.0,113,FRAPPORTI,Simona,ITA,BEPINK,W,32,,,03:20:37,
29,30.0,134,EDWARDS,Sophie,AUS,AUSTRALIA,W,20,,,03:21:07,
30,31.0,101,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,03:21:21,
31,32.0,44,LUDWIG,Hannah,GER,CANYON / /SRAM RACING,W,20,,,03:21:24,
32,33.0,66,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,03:21:24,
33,34.0,36,WORRACK,Trixi,GER,TREK - SEGAFREDO,W,39,,,03:21:26,
34,35.0,104,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,03:21:46,
35,36.0,131,TALBOT,Josie,AUS,AUSTRALIA,W,24,,,03:21:46,
36,37.0,42,ERATH,Tanja,GER,CANYON / /SRAM RACING,W,31,,,03:22:07,
37,38.0,126,WRIGHT,Madeline,AUS,ROXSOLT ATTAQUER,W,35,,,03:22:32,
38,39.0,86,WIEL,Jade,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,20,,,03:22:32,
39,40.0,111,VALSECCHI,Silvia,ITA,BEPINK,W,38,,,03:22:32,
40,41.0,115,VAN NECK,Melissa,CZE,BEPINK,W,29,,,03:23:26,
41,42.0,103,BAKKER,Minke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,03:23:47,
42,43.0,72,BARRERA ESPARZA,Anet,MEX,AGOLICO,W,22,,,03:24:00,
43,44.0,102,VROMANNE,Justine,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,19,,,03:25:20,
44,45.0,5,IVANIUK,Maryna,UKR,ASTANA WOMEN'S TEAM,W,30,,,03:25:20,
45,46.0,74,MORALES MILANES,Jennifer,CRC,AGOLICO,W,23,,,03:26:18,
46,47.0,73,GUTIERREZ ARZALUZ,Ariadna,MEX,AGOLICO,W,29,,,03:26:18,
47,48.0,71,AHUMADA RIQUELME,Denisse Aracely,CHI,AGOLICO,W,27,,,03:26:18,
