,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,KHALED,Samah,JOR,,W,28,,,02:51:29,
1,2.0,61,VAN DER HAAR,Lucy,GBR,HITEC PRODUCTS - BIRK SPORT,W,26,,,02:51:29,
2,3.0,146,DE BAAT,Kim,BEL,CICLOTEL,W,29,,,02:51:29,
3,4.0,161,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,02:51:29,
4,5.0,51,COLLINELLI,Sofia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,19,,,02:51:29,
5,6.0,52,CARBONARI,Anastasia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,02:51:29,
6,7.0,141,VAN HAAFTEN,Kirstie,NED,CICLOTEL,W,21,,,02:51:29,
7,8.0,134,PARET PEINTRE,Maëva,FRA,,W,21,,,02:51:29,
8,9.0,32,MONTOYA ZULUAGA,Katherin Steisy,COL,,W,26,,,02:51:29,
9,10.0,46,GAREEVA,Aigul,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,02:51:29,
10,11.0,23,GULLIKSEN,Line Marie,NOR,,W,30,,,02:51:29,
11,12.0,53,CIPRIANI,Carmela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,24,,,02:51:29,
12,13.0,66,TAGLIAFERRO,Marta,ITA,HITEC PRODUCTS - BIRK SPORT,W,31,,,02:51:29,
13,14.0,111,SARKULOVA,Alina,KAZ,,W,21,,,02:51:29,
14,15.0,2,ZAYED AHMED,Ebtissam,EGY,,W,24,,,02:51:29,
15,16.0,34,ATEHORTUA HOYOS,Daniela,COL,,W,21,,,02:51:29,
16,17.0,71,SAIFUTDINOVA,Natalya,KAZ,ASTANA WOMEN'S TEAM,W,31,,,02:51:29,
17,18.0,165,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,02:51:29,
18,19.0,56,MATTEOLI,Emilia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,02:51:29,
19,20.0,162,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,02:51:29,
20,21.0,43,ZABELINSKAYA,Olga,UZB,Cogeas Mettler Look Pro Cycling Team,W,40,,,02:51:29,
21,22.0,13,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,02:51:29,
22,23.0,64,LUTRO,Amalie,NOR,HITEC PRODUCTS - BIRK SPORT,W,20,,,02:51:29,
23,24.0,42,FISHER,Annabel,GBR,Cogeas Mettler Look Pro Cycling Team,W,31,,,02:51:29,
24,25.0,44,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,02:51:29,
25,26.0,14,GAXIOLA GONZALEZ,Maria Antonieta,MEX,AGOLICO,W,23,,,02:51:29,
26,27.0,26,EHRLER,Désirée,SUI,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,29,,,02:51:29,
27,28.0,106,SCHWEINBERGER,Christina,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,02:51:29,
28,29.0,22,FORSTER,Alana,AUS,,W,34,,,02:51:29,
29,30.0,101,SCHWEINBERGER,Kathrin,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,02:51:29,
30,31.0,103,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,02:51:29,
31,32.0,31,UPEGUI QUEVEDO,Carolina,COL,,W,31,,,02:51:29,
32,33.0,113,TOLEMISSOVA,Assem,KAZ,,W,19,,,02:51:29,
33,34.0,104,SZABÓ,Zsófia,HUN,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,02:51:29,
34,35.0,25,LANG,Mae,EST,,W,24,,,02:51:29,
35,36.0,16,LLEDIAS VILLEGAS,Julieta,MEX,AGOLICO,W,19,,,02:51:29,
36,37.0,36,GIRALDO MARIN,Daniela,COL,,W,22,,,02:51:29,
37,38.0,124,SZABÓ,Adrienn,HUN,,W,33,,,02:51:29,
38,39.0,132,ALMEIDA,Sophie,FRA,,W,24,,,02:51:29,
39,40.0,73,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,02:51:29,
40,41.0,135,BERNIGAUD,Lola,FRA,,W,18,,,02:51:29,
41,42.0,24,HEŘMANOVSKÁ,Hana,CZE,,W,20,,,02:51:29,
42,43.0,94,SWAN,Callie,CAN,Macogep Tornatech Girondins de Bordeaux,W,22,,,02:51:29,
43,44.0,156,ZANNER,Beate,GER,,W,38,,,02:51:29,
44,45.0,163,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,02:51:29,
45,46.0,123,TEMELA,Eszter,HUN,,W,31,,,02:51:29,
46,47.0,5,RYAN,Aoife,IRL,,W,33,,,02:51:29,
47,48.0,155,BETZ,Svenja,GER,,W,25,,,02:51:29,
48,49.0,166,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,02:51:29,
49,50.0,33,BOTERO LOPEZ,Erika Milena,COL,,W,20,,,02:51:29,
50,51.0,65,RICHIOUD,Greta,FRA,HITEC PRODUCTS - BIRK SPORT,W,24,,,02:51:29,
51,52.0,3,SARAH,Smith Megan,RSA,,W,21,,,02:51:29,
52,53.0,6,MULLARKEY,Lorraine,IRL,,W,36,,,02:51:29,
53,54.0,95,EL GHOUATE,Basma,MAR,,W,18,,,02:51:29,
54,55.0,62,GÅSKJENN,Ingvild,NOR,HITEC PRODUCTS - BIRK SPORT,W,22,,,02:51:29,
55,56.0,145,VAN DE VEL,Sara,BEL,CICLOTEL,W,26,,,02:51:29,
56,57.0,55,MARCHESINI,Giulia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,02:51:29,
57,58.0,35,TOCONAS RUIZ,Laura Milena,COL,,W,19,,,02:51:29,
58,59.0,152,SCHOENEMEYER,Lotta,GER,,W,21,,,02:51:29,
59,60.0,21,BERG,Mia,LUX,,W,23,,,02:51:29,
60,61.0,12,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,02:51:29,
