,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,61,VAN DER HAAR,Lucy,GBR,HITEC PRODUCTS - BIRK SPORT,W,26,,,10:31:35,
1,2,161,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,10:31:35,
2,3,1,KHALED,Samah,JOR,,W,28,,,10:31:47,
3,4,34,ATEHORTUA HOYOS,Daniela,COL,,W,21,,,10:31:54,
4,5,53,CIPRIANI,Carmela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,24,,,10:32:04,
5,6,91,BARIL,Olivia,CAN,Macogep Tornatech Girondins de Bordeaux,W,23,,,10:32:04,
6,7,101,SCHWEINBERGER,Kathrin,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,10:32:07,
7,8,63,LORVIK,Ingrid,NOR,HITEC PRODUCTS - BIRK SPORT,W,34,,,10:32:08,
8,9,52,CARBONARI,Anastasia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,10:32:11,
9,10,45,GALIMULLINA,Iuliia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,10:32:11,
10,11,55,MARCHESINI,Giulia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,10:32:11,
11,12,131,EUSTACHE,Emeline,FRA,,W,20,,,10:32:11,
12,13,103,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,10:32:13,
13,14,65,RICHIOUD,Greta,FRA,HITEC PRODUCTS - BIRK SPORT,W,24,,,10:32:13,
14,15,106,SCHWEINBERGER,Christina,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,10:32:14,
15,16,43,ZABELINSKAYA,Olga,UZB,Cogeas Mettler Look Pro Cycling Team,W,40,,,10:32:15,
16,17,71,SAIFUTDINOVA,Natalya,KAZ,ASTANA WOMEN'S TEAM,W,31,,,10:32:15,
17,18,111,SARKULOVA,Alina,KAZ,,W,21,,,10:32:15,
18,19,163,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,10:32:15,
19,20,42,FISHER,Annabel,GBR,Cogeas Mettler Look Pro Cycling Team,W,31,,,10:32:15,
20,21,13,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,10:32:15,
21,22,44,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,10:32:15,
22,23,72,UMUTZHANOVA,Makhabbat,KAZ,ASTANA WOMEN'S TEAM,W,26,,,10:32:15,
23,24,144,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,10:32:15,
24,25,166,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,10:32:15,
25,26,22,FORSTER,Alana,AUS,,W,34,,,10:32:15,
26,27,11,GUTIERREZ ARZALUZ,Ariadna,MEX,AGOLICO,W,29,,,10:32:15,
27,28,133,MIERMONT,Dilyxine,FRA,,W,20,,,10:32:15,
28,29,62,GÅSKJENN,Ingvild,NOR,HITEC PRODUCTS - BIRK SPORT,W,22,,,10:32:15,
29,30,3,SARAH,Smith Megan,RSA,,W,21,,,10:32:15,
30,31,93,FORTIN,Emilie,CAN,Macogep Tornatech Girondins de Bordeaux,W,21,,,10:32:15,
31,32,12,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,10:32:24,
32,33,145,VAN DE VEL,Sara,BEL,CICLOTEL,W,26,,,10:32:26,
33,34,155,BETZ,Svenja,GER,,W,25,,,10:32:30,
34,35,92,BOURBEAU,Luce,CAN,Macogep Tornatech Girondins de Bordeaux,W,29,,,10:32:30,
35,36,51,COLLINELLI,Sofia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,19,,,10:32:32,
36,37,25,LANG,Mae,EST,,W,24,,,10:32:34,
37,38,142,KONONENKO,Valeriya,UKR,CICLOTEL,W,30,,,10:32:34,
38,39,33,BOTERO LOPEZ,Erika Milena,COL,,W,20,,,10:32:34,
39,40,35,TOCONAS RUIZ,Laura Milena,COL,,W,19,,,10:32:34,
40,41,75,POTAPOVA,Faina,KAZ,,W,24,,,10:32:40,
41,42,74,PACHSHENKO,Svetlana,KAZ,ASTANA WOMEN'S TEAM,W,20,,,10:32:42,
42,43,23,GULLIKSEN,Line Marie,NOR,,W,30,,,10:32:43,
43,44,73,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,10:32:56,
44,45,64,LUTRO,Amalie,NOR,HITEC PRODUCTS - BIRK SPORT,W,20,,,10:32:59,
45,46,143,REIS,Daniela,POR,CICLOTEL,W,27,,,10:33:05,
46,47,162,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,10:33:08,
47,48,156,ZANNER,Beate,GER,,W,38,,,10:33:09,
48,49,164,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,10:33:12,
49,50,165,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,10:33:18,
50,51,16,LLEDIAS VILLEGAS,Julieta,MEX,AGOLICO,W,19,,,10:33:22,
51,52,36,GIRALDO MARIN,Daniela,COL,,W,22,,,10:33:25,
52,53,31,UPEGUI QUEVEDO,Carolina,COL,,W,31,,,10:33:27,
53,54,132,ALMEIDA,Sophie,FRA,,W,24,,,10:33:27,
54,55,104,SZABÓ,Zsófia,HUN,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,10:33:31,
55,56,113,TOLEMISSOVA,Assem,KAZ,,W,19,,,10:33:36,
56,57,56,MATTEOLI,Emilia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,10:33:50,
57,58,15,VARGAS BARRIENTOS,Maria Jose,CRC,AGOLICO,W,24,,,10:34:00,
58,59,2,ZAYED AHMED,Ebtissam,EGY,,W,24,,,10:34:09,
59,60,66,TAGLIAFERRO,Marta,ITA,HITEC PRODUCTS - BIRK SPORT,W,31,,,10:34:26,
60,61,26,EHRLER,Désirée,SUI,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,29,,,10:34:34,
61,62,94,SWAN,Callie,CAN,Macogep Tornatech Girondins de Bordeaux,W,22,,,10:34:57,
62,63,112,LYNNIK,Anastassiya,KAZ,,W,19,,,10:34:59,
