,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,61,VAN DER HAAR,Lucy,GBR,HITEC PRODUCTS - BIRK SPORT,W,26,,,81,
1,2,161,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,77,
2,3,1,KHALED,Samah,JOR,,W,28,,,67,
3,4,52,CARBONARI,Anastasia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,33,
4,5,51,COLLINELLI,Sofia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,19,,,30,
5,6,146,DE BAAT,Kim,BEL,CICLOTEL,W,29,,,27,
6,7,141,VAN HAAFTEN,Kirstie,NED,CICLOTEL,W,21,,,27,
7,8,103,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,25,
8,9,162,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,25,
9,10,53,CIPRIANI,Carmela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,24,,,25,
10,11,64,LUTRO,Amalie,NOR,HITEC PRODUCTS - BIRK SPORT,W,20,,,24,
11,12,91,BARIL,Olivia,CAN,Macogep Tornatech Girondins de Bordeaux,W,23,,,23,
12,13,101,SCHWEINBERGER,Kathrin,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,21,
13,14,34,ATEHORTUA HOYOS,Daniela,COL,,W,21,,,21,
14,15,145,VAN DE VEL,Sara,BEL,CICLOTEL,W,26,,,17,
15,16,63,LORVIK,Ingrid,NOR,HITEC PRODUCTS - BIRK SPORT,W,34,,,16,
16,17,134,PARET PEINTRE,Maëva,FRA,,W,21,,,15,
17,18,45,GALIMULLINA,Iuliia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,14,
18,19,2,ZAYED AHMED,Ebtissam,EGY,,W,24,,,14,
19,20,23,GULLIKSEN,Line Marie,NOR,,W,30,,,13,
20,21,31,UPEGUI QUEVEDO,Carolina,COL,,W,31,,,13,
21,22,55,MARCHESINI,Giulia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,10,
22,23,43,ZABELINSKAYA,Olga,UZB,Cogeas Mettler Look Pro Cycling Team,W,40,,,9,
23,24,131,EUSTACHE,Emeline,FRA,,W,20,,,8,
24,25,32,MONTOYA ZULUAGA,Katherin Steisy,COL,,W,26,,,8,
25,26,12,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,6,
26,27,144,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,6,
27,28,65,RICHIOUD,Greta,FRA,HITEC PRODUCTS - BIRK SPORT,W,24,,,3,
28,29,66,TAGLIAFERRO,Marta,ITA,HITEC PRODUCTS - BIRK SPORT,W,31,,,3,
29,30,111,SARKULOVA,Alina,KAZ,,W,21,,,2,
30,31,42,FISHER,Annabel,GBR,Cogeas Mettler Look Pro Cycling Team,W,31,,,2,
31,32,73,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,2,
32,33,106,SCHWEINBERGER,Christina,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,1,
33,34,142,KONONENKO,Valeriya,UKR,CICLOTEL,W,30,,,1,
34,35,14,GAXIOLA GONZALEZ,Maria Antonieta,MEX,AGOLICO,W,23,,,1,
