,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,W,38,,,3:32:51,
1,2.0,33,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,3:33:09,
2,3.0,51,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,3:33:18,
3,4.0,64,LONGO BORGHINI,Elisa,ITA,TREK - SEGAFREDO,W,29,,,3:33:39,
4,5.0,222,MAGNALDI,Erica,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,28,,,3:33:41,
5,6.0,85,KOPPENBURG,Clara,GER,EQUIPE PAULE KA,W,25,,,3:33:46,
6,7.0,45,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,3:35:52,
7,8.0,24,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,3:38:05,
8,9.0,63,DEIGNAN,Elizabeth,GBR,TREK - SEGAFREDO,W,32,,,3:38:54,
9,10.0,2,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,3:38:54,
10,11.0,211,LUDWIG,Cecilie Uttrup,DEN,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,25,,,3:39:41,
11,12.0,32,BUJAK,Eugenia,SLO,ALE' BTC LJUBLJANA,W,31,,,3:39:41,
12,13.0,65,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,3:39:41,
13,14.0,83,REUSSER,Marlen,SUI,EQUIPE PAULE KA,W,29,,,3:39:41,
14,15.0,221,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,3:41:14,
15,16.0,201,CAVALLI,Marta,ITA,VALCAR - TRAVEL & SERVICE,W,22,,,3:41:14,
16,17.0,81,HARVEY,Mikayla,NZL,EQUIPE PAULE KA,W,22,,,3:41:14,
17,18.0,21,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,3:41:14,
18,19.0,41,AMIALIUSIK,Alena,BLR,CANYON / /SRAM RACING,W,31,,,3:41:14,
19,20.0,44,SHAPIRA,Omer,ISR,CANYON / /SRAM RACING,W,26,,,3:41:14,
20,21.0,86,CHABBEY,Elise,SUI,EQUIPE PAULE KA,W,27,,,3:41:14,
21,22.0,56,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,3:41:14,
22,23.0,43,CECCHINI,Elena,ITA,CANYON / /SRAM RACING,W,28,,,3:46:08,
23,24.0,4,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,3:46:08,
24,25.0,62,CORDON RAGOT,Audrey,FRA,TREK - SEGAFREDO,W,31,,,3:46:08,
25,26.0,216,MUZIC,Evita,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,21,,,3:46:08,
26,27.0,31,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,3:46:08,
27,28.0,66,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,3:46:08,
28,29.0,214,DUVAL,Eugénie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,27,,,3:46:08,
29,30.0,204,PIRRONE,Elena,ITA,VALCAR - TRAVEL & SERVICE,W,21,,,3:46:08,
30,31.0,95,VAS,Kata Blanka,HUN,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,19,,,3:46:08,
31,32.0,34,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,3:46:08,
32,33.0,42,BARNES,Hannah,GBR,CANYON / /SRAM RACING,W,27,,,3:46:08,
33,34.0,206,SANGUINETI,Ilaria,ITA,VALCAR - TRAVEL & SERVICE,W,26,,,3:46:08,
34,35.0,61,BRAND,Lucinda,NED,TREK - SEGAFREDO,W,31,,,3:46:08,
35,,3,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,,DNF
36,,5,TENNIGLO,Moniek,NED,MITCHELTON SCOTT,W,32,,,,DNF
37,,6,ENSING,Janneke,NED,MITCHELTON SCOTT,W,34,,,,DNF
38,,22,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,,DNF
39,,23,GONZALEZ BLANCO,Alicia,ESP,MOVISTAR TEAM WOMEN,W,25,,,,DNF
40,,25,OYARBIDE JIMENEZ,Lourdes,ESP,MOVISTAR TEAM WOMEN,W,26,,,,DNF
41,,26,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,,DNF
42,,35,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,,DNF
43,,36,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,,DNF
44,,46,LUDWIG,Hannah,GER,CANYON / /SRAM RACING,W,20,,,,DNF
45,,52,VAN DEN BROEK-BLAAK,Chantal,NED,BOELS DOLMANS CYCLINGTEAM,W,31,,,,DNF
46,,53,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,W,26,,,,DNF
47,,54,UNEKEN,Lonneke,NED,BOELS DOLMANS CYCLINGTEAM,W,20,,,,DNF
48,,55,MAJERUS,Christine,LUX,BOELS DOLMANS CYCLINGTEAM,W,33,,,,DNF
49,,71,CATARZI,Giorgia,ITA,BEPINK,W,19,,,,DNF
50,,72,VALSECCHI,Silvia,ITA,BEPINK,W,38,,,,DNF
51,,73,ZANARDI,Silvia,ITA,BEPINK,W,20,,,,DNF
52,,74,VAN NECK,Melissa,CZE,BEPINK,W,29,,,,DNF
53,,75,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,,DNF
54,,76,CANVELLI,Vania,ITA,BEPINK,W,23,,,,DNF
55,,82,FISHER-BLACK,Niamh,NZL,EQUIPE PAULE KA,W,20,,,,DNF
56,,84,NOSKOVA,Nikola,CZE,EQUIPE PAULE KA,W,23,,,,DNF
57,,91,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,,DNF
