,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,23,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,,
1,2,22,SHARGA,Olena,UKR,LVIV Cycling Team,W,34,,,,
2,3,26,MELNYCHUK,Viktoriia,UKR,,W,22,,,,
3,4,5,POTAPOVA,Faina,KAZ,,W,24,,,,
4,5,41,ROSTOVTSEVA,Maria,RUS,RUSSIAN FEDERATION,W,21,,,,
5,6,11,BEKAR,Azize,TUR,,W,19,,,,
6,7,3,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,,
7,8,25,RIABCHENKO,Tetiana,UKR,,W,31,,,,
8,9,1,SAIFUTDINOVA,Natalya,KAZ,ASTANA WOMEN'S TEAM,W,31,,,,
9,10,2,UMUTZHANOVA,Makhabbat,KAZ,ASTANA WOMEN'S TEAM,W,26,,,,
10,11,21,KONONENKO,Valeriya,UKR,CICLOTEL,W,30,,,,
11,12,6,PASTARNAK,Viktoriya,KAZ,,W,23,,,,
12,13,12,KOYUN,Keziban,TUR,,W,20,,,,
13,14,44,MEDVEDEVA,Vera,RUS,,W,32,,,,
14,15,24,PARKHOMIUK,Viktoriia,UKR,,W,19,,,,
15,16,4,PACHSHENKO,Svetlana,KAZ,ASTANA WOMEN'S TEAM,W,20,,,,
16,17,42,MIROLYUBOVA,Anna,RUS,,W,20,,,,
17,18,43,ILINA,Kristina,RUS,,W,22,,,,
18,19,27,SLOBODYAN,Iryna,UKR,,W,31,,,,
19,20,35,CELEBI,Cansu,TUR,,W,26,,,,
20,21,14,SEZER,Fatma,TUR,,W,21,,,,
21,22,16,ELMALI,Mehlika,TUR,,W,20,,,,
22,23,15,CAKIR,Ayse,TUR,,W,23,,,,
23,24,13,SAGNAK,Arzu,TUR,,W,33,,,,
24,25,31,AYGUN,Buse,TUR,,W,23,,,,
25,26,17,BAYRAM,Ezgi,TUR,,W,19,,,,
26,27,33,OZVER,Irem,TUR,,W,19,,,,
27,28,34,GUL,Dilara,TUR,,W,21,,,,
28,29,37,OZNUR,Dusra,TUR,,W,26,,,,
29,30,32,OMERBEYOGLU,Elif,TUR,,W,21,,,,
30,31,36,BAYRAKTAR,Damla,TUR,,W,22,,,,
