,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,62,KLIMOVA,Diana,RUS,Cogeas Mettler Look Pro Cycling Team,W,24,,,3:33:56,
1,2.0,35,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,3:36:14,
2,3.0,71,NAHIRNA,Anna,UKR,LVIV Cycling Team,W,32,,,3:36:14,
3,4.0,25,SHEKEL,Olga,UKR,UKRAINE,W,26,,,3:36:14,
4,5.0,34,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,3:36:14,
5,6.0,64,NOVOLODSKAYA,Maria,RUS,Cogeas Mettler Look Pro Cycling Team,W,21,,,3:36:14,
6,7.0,72,BIRYUKOVA,Julia,UKR,LVIV Cycling Team,W,22,,,3:36:14,
7,8.0,61,MALKOVA,Daria,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,3:36:18,
8,9.0,73,SHARGA,Olena,UKR,LVIV Cycling Team,W,34,,,3:37:55,
9,10.0,12,KIRILLOVA,Polina,RUS,Sestroretsk,W,23,,,3:37:56,
10,11.0,82,UMUTZHANOVA,Makhabbat,KAZ,KAZAKHSTAN,W,26,,,3:37:56,
11,12.0,33,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,3:37:57,
12,13.0,16,SYRADOEVA,Margarita,RUS,Sestroretsk,W,25,,,3:41:15,
13,14.0,51,DRONOVA,Tamara,RUS,,W,27,,,3:41:15,
14,15.0,31,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,3:42:47,
15,16.0,66,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,3:42:47,
16,17.0,11,IVANOVA,Irina,RUS,Sestroretsk,W,22,,,3:42:47,
17,18.0,85,POTAPOVA,Faina,KAZ,KAZAKHSTAN,W,24,,,3:42:47,
18,19.0,104,BAIDAK,Anna,RUS,RUSSIAN FEDERATION,W,20,,,3:42:48,
19,20.0,52,DOBRYNINA,Kseniia,RUS,SERVETTO - PIUMATE - BELTRAMI TSA,W,26,,,3:44:35,
20,21.0,32,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,3:45:32,
21,22.0,15,VINOGRADOVA,Viktoriia,RUS,Sestroretsk,W,21,,,3:45:33,
22,23.0,13,CHERNYSHOVA,Galina,RUS,Sestroretsk,W,27,,,3:45:33,
23,24.0,24,VYSOTSKA,Ievgeniia,UKR,UKRAINE,W,45,,,3:45:33,
24,25.0,83,SANAKBAYEVA,Zhanerke,KAZ,KAZAKHSTAN,W,22,,,3:47:48,
25,26.0,81,SAIFUTDINOVA,Natalya,KAZ,KAZAKHSTAN,W,31,,,3:47:48,
26,27.0,53,ARCHIBASOVA,Elizaveta,RUS,,W,20,,,3:48:35,
27,28.0,22,MELNYCHUK,Viktoriia,UKR,UKRAINE,W,22,,,3:49:26,
28,29.0,84,PACHSHENKO,Svetlana,KAZ,KAZAKHSTAN,W,20,,,3:50:42,
29,30.0,23,SEMENOVA,Iryna,UKR,UKRAINE,W,30,,,3:50:43,
30,31.0,74,BONDAR,Viktoriia,UKR,LVIV Cycling Team,W,25,,,3:54:28,
