,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,51,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,0.10380787037037036,
1,2,6,GALIMULLINA,Iuliia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,0.10380787037037036,
2,3,62,SYRADOEVA,Margarita,RUS,Sestroretsk,W,25,,,0.10380787037037036,
3,4,21,RIABCHENKO,Tetiana,UKR,,W,31,,,0.10380787037037036,
4,5,84,DOBRYNINA,Kseniia,RUS,SERVETTO - PIUMATE - BELTRAMI TSA,W,26,,,0.10380787037037036,
5,6,63,IVANOVA,Irina,RUS,Sestroretsk,W,22,,,0.10380787037037036,
6,7,34,SAIFUTDINOVA,Natalya,KAZ,ASTANA WOMEN'S TEAM,W,31,,,0.10380787037037036,
7,8,55,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,0.10380787037037036,
8,9,91,GOGOLEVA,Elena,RUS,,W,40,,,0.10380787037037036,
9,10,3,MILIAEVA,Mariia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,0.10380787037037036,
10,11,106,BUKANOVA,Diana,KAZ,,W,18,,,0.10380787037037036,
11,12,15,DEBNÁROVÁ,Laura,SVK,,W,20,,,0.10380787037037036,
12,13,11,MACHÁLKOVÁ,Petra,SVK,,W,20,,,0.10380787037037036,
13,14,136,KOYUN,Keziban,TUR,,W,20,,,0.10380787037037036,
14,15,71,KHANKISHIYEVA,Ayan,AZE,,W,19,,,0.10380787037037036,
15,16,24,VYSOTSKA,Ievgeniia,UKR,,W,45,,,0.10380787037037036,
16,17,103,TOLEMISSOVA,Assem,KAZ,,W,19,,,0.10380787037037036,
17,18,102,SARKULOVA,Alina,KAZ,,W,21,,,0.10380787037037036,
18,19,81,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,0.10380787037037036,
19,20,33,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,0.10380787037037036,
20,21,83,ARCHIBASOVA,Elizaveta,RUS,,W,20,,,0.10380787037037036,
21,22,4,GAREEVA,Aigul,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,0.10380787037037036,
22,23,56,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,0.10380787037037036,
23,24,22,MELNYCHUK,Viktoriia,UKR,,W,22,,,0.10380787037037036,
24,25,105,ABRAMCHUK,Alyona,KAZ,,W,19,,,0.10380787037037036,
25,26,65,CHERNYSHOVA,Galina,RUS,Sestroretsk,W,27,,,0.10380787037037036,
26,27,2,RYTSEVA,Alena,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,0.10380787037037036,
