,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,114,SALAZAR VAZQUEZ,Lizbeth Yareli,MEX,ASTANA WOMEN'S TEAM,W,24,,,2:23:38,
1,2.0,65,HOLDEN,Elizabeth,GBR,BIZKAIA - DURANGO,W,23,,,2:23:38,
2,3.0,115,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,2:26:30,
3,4.0,5,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,2:26:30,
4,5.0,57,CAMPBELL,Teniel,TTO,VALCAR - TRAVEL & SERVICE,W,23,,,2:26:30,
5,6.0,193,KOOL,Charlotte,NED,NXTG RACING,W,21,,,2:26:30,
6,7.0,75,MOBERG,Emilie,NOR,DROPS,W,29,,,2:26:30,
7,8.0,32,FIDANZA,Arianna,ITA,LOTTO SOUDAL LADIES,W,25,,,2:26:30,
8,9.0,4,BANKS,Elizabeth,GBR,BIGLA - KATUSHA,W,30,,,2:26:30,
9,10.0,13,VIECELI,Lara,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,27,,,2:26:30,
10,11.0,77,VAN 'T GELOOF,Maria Apolonia,NED,DROPS,W,24,,,2:26:30,
11,12.0,142,BALDUCCI,Michela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,25,,,2:26:30,
12,13.0,85,BAKKER,Minke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,2:26:30,
13,14.0,122,BARIANI,Giorgia,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,2:26:30,
14,15.0,157,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,2:26:30,
15,16.0,41,BORGLI,Stine,NOR,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,2:26:30,
16,17.0,94,CREAMER,Lauren,IRL,MASSI TACTIC WOMEN TEAM,W,28,,,2:26:30,
17,18.0,181,VERHULST,Gladys,FRA,Team Arkea,W,23,,,2:26:30,
18,19.0,21,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,2:26:30,
19,20.0,205,DURRELL,Rebecca,GBR,CAMS - TIFOSI,W,32,,,2:26:30,
20,21.0,101,RODRIGUEZ REVERT,Sofia,ESP,SOPELA WOMEN'S TEAM,W,21,,,2:26:30,
21,22.0,37,PARKINSON,Abby-Mae,GBR,LOTTO SOUDAL LADIES,W,23,,,2:26:30,
22,23.0,33,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,2:26:30,
23,24.0,152,GONZALEZ BLANCO,Alicia,ESP,MOVISTAR TEAM WOMEN,W,25,,,2:26:30,
24,25.0,177,BULLERI,Alessia,ITA,ENEICAT -RBH GLOBAL,W,27,,,2:26:30,
25,26.0,234,WOLFE,Juliet,IRL,,W,38,,,2:26:30,
26,27.0,137,SWINKELS,Karlijn,NED,PARKHOTEL VALKENBURG,W,22,,,2:26:30,
27,28.0,1,KOPPENBURG,Clara,GER,BIGLA - KATUSHA,W,25,,,2:26:30,
28,29.0,76,PENTON,Sara,SWE,DROPS,W,32,,,2:26:30,
29,30.0,185,EL HAYANI,Fatima Zahra,MAR,Team Arkea,W,24,,,2:26:30,
