,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,21,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,12:30:54,
1,2,1,KOPPENBURG,Clara,GER,BIGLA - KATUSHA,W,25,,,12:31:29,
2,3,133,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,W,24,,,12:32:01,
3,4,2,THOMAS,Leah,USA,BIGLA - KATUSHA,W,31,,,12:33:15,
4,5,7,REUSSER,Marlen,SUI,BIGLA - KATUSHA,W,29,,,12:33:29,
5,6,25,HALL,Katharine,USA,BOELS DOLMANS CYCLINGTEAM,W,33,,,12:34:03,
6,7,151,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,12:34:05,
7,8,12,MAGNALDI,Erica,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,28,,,12:34:14,
8,9,43,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,12:34:15,
9,10,41,BORGLI,Stine,NOR,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,12:35:33,
10,11,11,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,12:35:34,
11,12,72,LOWDEN,Joscelin,GBR,DROPS,W,33,,,12:35:44,
12,13,4,BANKS,Elizabeth,GBR,BIGLA - KATUSHA,W,30,,,12:36:42,
13,14,115,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,12:39:08,
14,15,237,GILL,Nadine Michaela,GER,,W,29,,,12:39:35,
15,16,26,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,12:39:52,
16,17,153,MARTINEZ BONAFE,Cristina,ESP,,W,24,,,12:40:16,
17,18,123,MARTURANO,Greta,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,12:40:54,
18,19,135,NILSSON,Hanna,SWE,PARKHOTEL VALKENBURG,W,28,,,12:40:57,
19,20,6,CHABBEY,Elise,SUI,BIGLA - KATUSHA,W,27,,,12:43:38,
20,21,42,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,12:44:00,
21,22,31,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,W,27,,,12:44:00,
22,23,113,SHEKEL,Olga,UKR,ASTANA WOMEN'S TEAM,W,26,,,12:44:03,
23,24,3,WRIGHT,Sophie,GBR,BIGLA - KATUSHA,W,21,,,12:44:18,
24,25,33,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,12:44:20,
25,26,242,SHAPIRA,Omer,ISR,CANYON / /SRAM RACING,W,26,,,12:44:25,
