,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,2,VAN DEN BROEK-BLAAK,Chantal,NED,BOELS DOLMANS CYCLINGTEAM,W,31,,,02:35:01,
1,2.0,5,MAJERUS,Christine,LUX,BOELS DOLMANS CYCLINGTEAM,W,33,,,00:01:50,
2,3.0,201,KOPECKY,Lotte,BEL,LOTTO SOUDAL LADIES,W,25,,,00:01:50,
3,4.0,1,VAN DEN BOS,Jip,NED,BOELS DOLMANS CYCLINGTEAM,W,24,,,00:01:50,
4,5.0,44,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,00:01:50,
5,6.0,31,BIANNIC,Aude,FRA,MOVISTAR TEAM WOMEN,W,29,,,00:01:56,
6,7.0,3,UNEKEN,Lonneke,NED,BOELS DOLMANS CYCLINGTEAM,W,20,,,00:03:43,
7,8.0,212,VAN 'T GELOOF,Maria Apolonia,NED,DROPS,W,24,,,00:03:43,
8,9.0,163,FABER,Claire,LUX,,W,22,,,00:03:43,
9,10.0,36,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,00:03:43,
10,11.0,35,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,00:03:43,
11,12.0,242,JOUNIER,Lucie,FRA,Team Arkea,W,22,,,00:03:43,
12,13.0,213,BENNETT,Elizabeth,GBR,DROPS,W,21,,,00:03:43,
13,14.0,224,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,00:03:43,
14,15.0,71,KERN,Špela,SLO,LVIV Cycling Team,W,30,,,00:03:43,
15,16.0,193,SOTO CAMPOS,Catalina Anais,CHI,WCC TEAM,W,19,,,00:03:43,
16,17.0,142,REIS,Daniela,POR,CICLOTEL,W,27,,,00:03:43,
17,18.0,215,PENTON,Sara,SWE,DROPS,W,32,,,00:03:43,
18,19.0,203,BRAAM,Danique,NED,LOTTO SOUDAL LADIES,W,25,,,00:03:43,
19,20.0,63,VAN GOGH,Natalie,NED,CHEVALMEIRE CYCLING TEAM,W,46,,,00:03:43,
20,21.0,106,WATERREUS,Kylie,NED,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,22,,,00:03:43,
21,22.0,93,SMULDERS,Silke,NED,,W,19,,,00:03:43,
22,23.0,151,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,00:03:43,
23,24.0,134,RAVNDAL,Birgitte,NOR,,W,29,,,00:03:43,
24,25.0,225,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,00:03:43,
25,26.0,6,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,W,26,,,00:03:43,
26,27.0,205,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,00:03:43,
27,28.0,33,GUTIERREZ RUIZ,Sheyla,ESP,MOVISTAR TEAM WOMEN,W,26,,,00:03:43,
28,29.0,195,VALLIERES MILL,Magdeleine,CAN,WCC TEAM,W,19,,,00:03:43,
29,30.0,222,SCHWEINBERGER,Christina,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,00:03:43,
30,31.0,122,OTTESTAD,Mie Bjørndal,NOR,,W,23,,,00:03:52,
31,32.0,162,CROKET,Gilke,BEL,,W,28,,,00:03:52,
32,33.0,7,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,00:03:52,
33,34.0,32,GONZALEZ BLANCO,Alicia,ESP,MOVISTAR TEAM WOMEN,W,25,,,00:03:52,
34,35.0,153,CROOKS,Jenelle,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,00:03:52,
35,36.0,146,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,00:03:52,
36,37.0,55,LANG,Mae,EST,,W,24,,,00:03:52,
37,38.0,243,LAURANCE,Typhaine,FRA,Team Arkea,W,22,,,00:03:52,
38,39.0,232,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,00:03:52,
39,40.0,172,FONSECA,Barbara,FRA,,W,30,,,00:03:52,
40,41.0,211,MOBERG,Emilie,NOR,DROPS,W,29,,,00:03:52,
41,42.0,111,GRÖNDAHL,Antonia,FIN,,W,25,,,00:03:52,
42,43.0,221,SCHWEINBERGER,Kathrin,AUT,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,00:03:57,
43,44.0,42,CORDON RAGOT,Audrey,FRA,TREK - SEGAFREDO,W,31,,,00:03:57,
44,45.0,43,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,00:03:57,
45,46.0,192,KOLESAVA,Anastasiya,BLR,WCC TEAM,W,20,,,00:04:03,
46,47.0,16,ENEVER,Sophie,GBR,,W,21,,,00:05:03,
47,48.0,144,DE BAAT,Kim,BEL,CICLOTEL,W,29,,,00:06:53,
48,49.0,72,BONDAR,Viktoriia,UKR,LVIV Cycling Team,W,25,,,00:07:17,
49,50.0,15,PETERS,Caitlin,GBR,,W,19,,,00:07:52,
50,51.0,11,BRECK,Holly,USA,,W,28,,,00:07:52,
51,52.0,155,PEÑUELA MARTINEZ,Diana Carolina,COL,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,00:07:52,
52,53.0,197,GEDRAITYTĖ,Akvile,LTU,WCC TEAM,W,19,,,00:07:52,
53,54.0,117,MCDERMOTT,Ellen,IRL,,W,32,,,00:07:52,
54,55.0,112,NELSON,Emily,GBR,,W,24,,,00:07:52,
55,56.0,196,MEDVEDOVA,Tereza,SVK,WCC TEAM,W,24,,,00:07:52,
56,57.0,97,BORGSTRÖM,Julia,SWE,NXTG RACING,W,19,,,00:07:52,
57,58.0,204,CASTRIQUE,Alana,BEL,LOTTO SOUDAL LADIES,W,21,,,00:07:52,
58,59.0,241,VERHULST,Gladys,FRA,Team Arkea,W,23,,,00:07:52,
59,60.0,94,WADSWORTH,Emily,GBR,NXTG RACING,W,21,,,00:07:52,
60,61.0,244,ALLIN,Pauline,FRA,Team Arkea,W,25,,,00:07:52,
61,62.0,152,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,00:07:52,
62,63.0,156,NEWSOM,Emily,USA,TEAM TIBCO - SILICON VALLEY BANK,W,37,,,00:07:52,
63,64.0,231,LUTRO,Amalie,NOR,HITEC PRODUCTS - BIRK SPORT,W,20,,,00:07:52,
64,65.0,73,PILZ,Estefania,ARG,LVIV Cycling Team,W,35,,,00:07:52,
65,66.0,233,LORVIK,Ingrid,NOR,HITEC PRODUCTS - BIRK SPORT,W,34,,,00:07:52,
66,67.0,227,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,00:07:52,
67,68.0,75,TURNBULL,Fiona,GBR,LVIV Cycling Team,W,20,,,00:08:00,
68,69.0,115,JONKER,Kerry,RSA,,W,24,,,00:08:01,
69,70.0,236,MIDTSVEEN,Natalie Irene,NOR,HITEC PRODUCTS - BIRK SPORT,W,19,,,00:08:01,
70,71.0,194,JANDOVÁ,Veronika,CZE,WCC TEAM,W,19,,,00:08:01,
71,72.0,141,VAN VELZEN,Bryony,NED,CICLOTEL,W,24,,,00:08:01,
72,73.0,161,KHAN,Danielle,GBR,,W,25,,,00:08:01,
73,74.0,164,GRIFFIN,Mia,IRL,,W,22,,,00:08:01,
74,75.0,34,RODRIGUEZ SANCHEZ,Gloria,ESP,MOVISTAR TEAM WOMEN,W,28,,,00:08:01,
75,76.0,81,GEERIS,Femke,NED,,W,24,,,00:08:01,
76,77.0,45,VAN TWISK,Abigail,GBR,TREK - SEGAFREDO,W,23,,,00:08:01,
77,78.0,41,BACKSTEDT,Elynor,GBR,TREK - SEGAFREDO,W,19,,,00:08:01,
78,79.0,202,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,W,27,,,00:08:01,
79,80.0,181,VAINIONPÄÄ,Laura,FIN,,W,26,,,00:08:01,
80,81.0,147,VAN DE VEL,Sara,BEL,CICLOTEL,W,26,,,00:08:06,
81,82.0,175,TESSIER,Oceane,FRA,,W,24,,,00:08:06,
