,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,71,HARRIS,Ella,NZL,NEW ZEALAND,W,22,,,01:36:43,
1,2.0,23,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,01:36:43,
2,3.0,1,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,01:36:46,
3,4.0,91,GUNNING,Jaime,AUS,,W,22,,,01:36:54,
4,5.0,35,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,01:37:14,
5,6.0,81,BARROW,Justine,AUS,ROXSOLT ATTAQUER,W,41,,,01:37:27,
6,7.0,75,SHEPPARD,Samara,NZL,NEW ZEALAND,W,30,,,01:37:43,
7,8.0,53,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,01:37:46,
8,9.0,13,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,01:38:15,
9,10.0,54,GUTIERREZ ARZALUZ,Ariadna,MEX,AGOLICO,W,29,,,01:38:15,
10,11.0,84,WILSON,Bree,AUS,ROXSOLT ATTAQUER,W,33,,,01:39:09,
11,12.0,33,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,01:39:23,
12,13.0,142,MCCALLUM,Kirsty,NZL,,W,28,,,01:40:26,
13,14.0,21,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,01:40:26,
14,15.0,11,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,01:40:28,
15,16.0,61,PRATT,Jessica,AUS,AUSTRALIA,W,23,,,01:40:29,
16,17.0,83,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,01:40:29,
17,18.0,93,HARRIS,Holly,AUS,,W,25,,,01:40:29,
18,19.0,94,HEATHER,Taryn,AUS,,W,38,,,01:40:29,
19,20.0,56,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,01:40:29,
20,21.0,115,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,01:40:29,
21,22.0,86,WRIGHT,Madeline,AUS,ROXSOLT ATTAQUER,W,35,,,01:40:49,
22,23.0,51,AHUMADA RIQUELME,Denisse,CHI,,W,27,,,01:41:51,
