,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,03:52:38,
1,2.0,91,GUNNING,Jaime,AUS,,W,22,,,03:52:50,
2,3.0,35,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,03:53:00,
3,4.0,71,HARRIS,Ella,NZL,NEW ZEALAND,W,22,,,03:53:18,
4,5.0,23,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,03:53:22,
5,6.0,53,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,03:53:42,
6,7.0,13,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,03:54:09,
7,8.0,81,BARROW,Justine,AUS,ROXSOLT ATTAQUER,W,41,,,03:54:12,
8,9.0,75,SHEPPARD,Samara,NZL,NEW ZEALAND,W,30,,,03:54:28,
9,10.0,54,GUTIERREZ ARZALUZ,Ariadna,MEX,AGOLICO,W,29,,,03:55:00,
10,11.0,33,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,03:55:19,
11,12.0,84,WILSON,Bree,AUS,ROXSOLT ATTAQUER,W,33,,,03:55:54,
12,13.0,21,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,03:56:18,
13,14.0,115,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,03:56:19,
14,15.0,11,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,03:56:24,
15,16.0,94,HEATHER,Taryn,AUS,,W,38,,,03:56:24,
16,17.0,61,PRATT,Jessica,AUS,AUSTRALIA,W,23,,,03:56:25,
17,18.0,83,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,03:56:25,
18,19.0,142,MCCALLUM,Kirsty,NZL,,W,28,,,03:57:11,
19,20.0,56,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,03:57:14,
20,21.0,93,HARRIS,Holly,AUS,,W,25,,,03:57:14,
21,22.0,82,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,03:57:43,
22,23.0,51,AHUMADA RIQUELME,Denisse,CHI,,W,27,,,03:57:47,
23,24.0,6,ELVIN,Gracie,AUS,MITCHELTON SCOTT,W,32,,,03:58:26,
24,25.0,74,Swain,Jorja,NZL,NEW ZEALAND,W,19,,,03:58:36,
25,26.0,55,MORALES MILANES,Jennifer,CRC,AGOLICO,W,23,,,03:58:40,
26,27.0,131,DEACON,Kirsty,AUS,,W,23,,,03:58:42,
27,28.0,31,IVANIUK,Maryna,UKR,ASTANA WOMEN'S TEAM,W,30,,,03:59:40,
28,29.0,52,BARRERA ESPARZA,Anet,MEX,AGOLICO,W,22,,,04:00:13,
29,30.0,73,MERRICK,Jenna,NZL,NEW ZEALAND,W,20,,,04:00:55,
30,31.0,63,WHITEHOUSE,Georgia,AUS,AUSTRALIA,W,29,,,04:00:59,
31,32.0,86,WRIGHT,Madeline,AUS,ROXSOLT ATTAQUER,W,35,,,04:01:08,
32,33.0,141,FRASER,Elyse,NZL,,W,32,,,04:02:38,
33,34.0,5,ROBERTS,Jessica,GBR,MITCHELTON SCOTT,W,21,,,04:03:28,
34,35.0,2,ROY,Sarah,AUS,MITCHELTON SCOTT,W,34,,,04:03:59,
35,36.0,96,RAYNOLDS,Matilda,AUS,,W,33,,,04:04:10,
36,37.0,111,EDWARDS,Sophie,AUS,,W,20,,,04:04:17,
37,38.0,92,PERRY,Kate,AUS,,W,30,,,04:04:50,
38,39.0,103,MIANSAROW,Georgia,AUS,,W,28,,,04:05:44,
39,40.0,125,FORSTER,Alana,AUS,,W,34,,,04:05:44,
40,41.0,102,RICARDO,Gina,AUS,,W,26,,,04:05:58,
41,42.0,143,DANFORD,Georgia,NZL,,W,21,,,04:05:58,
42,43.0,126,ATKINS,Julia,AUS,,W,24,,,04:07:14,
43,44.0,62,TALBOT,Josie,AUS,AUSTRALIA,W,24,,,04:07:27,
44,45.0,121,VINE,Bre,AUS,,W,25,,,04:07:56,
45,46.0,72,BARTRAM,Hannah,NZL,NEW ZEALAND,W,19,,,04:08:13,
46,47.0,144,WOLLASTON,Ally,NZL,,W,19,,,04:09:59,
47,48.0,134,BRUNTON-MAKEHAM,Grace,AUS,,W,31,,,04:10:51,
48,49.0,66,TURNER,Catelyn,AUS,AUSTRALIA,W,18,,,04:11:50,
49,50.0,104,DARMODY,Jennifer,AUS,,W,29,,,04:12:23,
50,51.0,25,LUCAS,Sharlotte,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,29,,,04:13:00,
51,52.0,146,LIPP,Annamarie,NZL,,W,20,,,04:14:25,
52,53.0,136,FITYUS,Lucie,AUS,,W,20,,,04:14:39,
53,54.0,133,WOOLSTON,Kathryn,AUS,,W,51,,,04:17:32,
54,55.0,122,SMITH,Pia,AUS,,W,28,,,04:19:00,
55,,14,MANEEPHAN,Jutatip,THA,ALE' BTC LJUBLJANA,W,32,,,00:00:00,DNF
56,,16,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,02:15:50,DNF
57,,22,CLEVENGER,Erica,USA,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,02:16:45,DNF
58,,24,CROOKS,Jenelle,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,00:00:00,DNF
59,,26,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,02:15:56,DNF
60,,32,PATTARO,Francesca,ITA,ASTANA WOMEN'S TEAM,W,25,,,02:16:00,DNF
61,,64,MORAN,Chloe,AUS,AUSTRALIA,W,22,,,02:20:19,DNF
62,,65,SEWELL,Francesca,AUS,AUSTRALIA,W,18,,,02:23:27,DNF
63,,76,NIGHTINGALE,Stella,NZL,NEW ZEALAND,W,19,,,02:16:45,DNF
64,,85,CHILTON,Emma,AUS,ROXSOLT ATTAQUER,W,22,,,00:00:00,DNF
65,,95,BLOOR,Ella,AUS,,W,25,,,00:00:00,DNF
66,,105,VESTY,Amy,NZL,,W,38,,,02:23:22,DNF
67,,106,PRATT,Emma,AUS,,W,21,,,02:23:22,DNF
68,,113,LOUW,Anya,AUS,,W,20,,,02:20:19,DNF
69,,114,MARTIN-WALLACE,Alex,AUS,,W,20,,,02:16:42,DNF
70,,123,LANGHAM,Amalia,AUS,,W,20,,,02:20:19,DNF
71,,124,MORLEY,Sharni,AUS,,W,19,,,00:00:00,DNF
72,,132,HENNESSEY,Deborah,AUS,,W,47,,,00:00:00,DNF
73,,135,MITSIGEORGIS,Nicole,AUS,,W,28,,,00:00:00,DNF
74,,145,MCMULLEN,Rylee,NZL,,W,25,,,02:20:19,DNF
