,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,35,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,10,
1,2.0,71,HARRIS,Ella,NZL,NEW ZEALAND,W,22,,,10,
2,3.0,82,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,10,
3,4.0,115,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,10,
4,5.0,23,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,8,
5,6.0,21,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,8,
6,7.0,92,PERRY,Kate,AUS,,W,30,,,6,
7,8.0,144,WOLLASTON,Ally,NZL,,W,19,,,6,
8,9.0,1,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,6,
9,10.0,91,GUNNING,Jaime,AUS,,W,22,,,4,
10,11.0,13,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,4,
11,12.0,94,HEATHER,Taryn,AUS,,W,38,,,2,
12,13.0,96,RAYNOLDS,Matilda,AUS,,W,33,,,2,
13,,16,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,8,DNF
14,,114,MARTIN-WALLACE,Alex,AUS,,W,20,,,6,DNF
15,,26,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,4,DNF
