,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,91,GUNNING,Jaime,AUS,,W,22,,,03:52:50,
1,2.0,71,HARRIS,Ella,NZL,NEW ZEALAND,W,22,,,03:53:18,
2,3.0,23,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,03:53:22,
3,4.0,53,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,03:53:42,
4,5.0,115,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,03:56:19,
5,6.0,11,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,03:56:24,
6,7.0,74,Swain,Jorja,NZL,NEW ZEALAND,W,19,,,03:58:36,
7,8.0,52,BARRERA ESPARZA,Anet,MEX,AGOLICO,W,22,,,04:00:13,
8,9.0,73,MERRICK,Jenna,NZL,NEW ZEALAND,W,20,,,04:00:55,
9,10.0,5,ROBERTS,Jessica,GBR,MITCHELTON SCOTT,W,21,,,04:03:28,
10,11.0,111,EDWARDS,Sophie,AUS,,W,20,,,04:04:17,
11,12.0,143,DANFORD,Georgia,NZL,,W,21,,,04:05:58,
12,13.0,72,BARTRAM,Hannah,NZL,NEW ZEALAND,W,19,,,04:08:13,
13,14.0,144,WOLLASTON,Ally,NZL,,W,19,,,04:09:59,
14,15.0,66,TURNER,Catelyn,AUS,AUSTRALIA,W,18,,,04:11:50,
15,16.0,146,LIPP,Annamarie,NZL,,W,20,,,04:14:25,
16,17.0,136,FITYUS,Lucie,AUS,,W,20,,,04:14:39,
17,,64,MORAN,Chloe,AUS,AUSTRALIA,W,22,,,,DNF
18,,65,SEWELL,Francesca,AUS,AUSTRALIA,W,18,,,,DNF
19,,76,NIGHTINGALE,Stella,NZL,NEW ZEALAND,W,19,,,,DNF
20,,106,PRATT,Emma,AUS,,W,21,,,,DNF
21,,113,LOUW,Anya,AUS,,W,20,,,,DNF
22,,114,MARTIN-WALLACE,Alex,AUS,,W,20,,,,DNF
23,,123,LANGHAM,Amalia,AUS,,W,20,,,,DNF
