,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,101,MOOLMAN-PASIO,Ashleigh,RSA,CCC - LIV,W,35,,,07:46.7,
1,2.0,104,OBERHOLZER,Carla,RSA,BIZKAIA - DURANGO,W,33,,,07:47.3,
2,3.0,119,MATTHEE,Maroesjka,RSA,CICLOTEL,W,31,,,07:47.7,
3,4.0,154,JANSE VAN RENSBURG,Frances,RSA,,W,19,,,07:47.9,
4,5.0,117,VAN DE WINKEL,Joanna,RSA,,W,38,,,07:48.6,
5,6.0,161,PREEN,Hayley,RSA,,W,22,,,07:49.0,
6,7.0,116,ROSENSTEIN,Lizle,RSA,,W,38,,,07:49.4,
7,8.0,159,VAN SCHOOR,Kelsey,RSA,,W,19,,,07:49.6,
8,9.0,151,KEEP,Tiffany,RSA,,W,20,,,07:51.0,
9,10.0,111,COLYN,Catherine,RSA,,W,24,,,07:54.1,
10,11.0,121,PAUL,Stacey,RSA,,W,31,,,07:54.3,
11,12.0,102,JORDAAN,Liezel,RSA,,W,25,,,07:56.4,
12,13.0,160,WEBB,Courteney,RSA,,W,22,,,07:58.4,
13,14.0,156,LOUW,Kristen,RSA,,W,22,,,09:25.7,
14,15.0,105,JONKER,Kerry,RSA,,W,24,,,09:44.8,
15,16.0,157,PARSONS,Ashleigh,RSA,,W,20,,,10:13.0,
16,17.0,118,WILLEIT,Cherise,RSA,,W,31,,,13:22.9,
17,18.0,152,OWEN,Elné,RSA,,W,21,,,15:45.2,
18,19.0,108,BEUKES,Lesleigh,RSA,,W,37,,,19:30.9,
19,20.0,115,GROVE,S'annara,RSA,,W,27,,,25:49.7,
20,,109,BIANI,Nicola,RSA,,W,28,,,,DNF
21,,120,HUMAN,Ronet,RSA,,W,29,,,,DNF
22,,155,KEMP,Mariette,RSA,,W,21,,,,DNF
23,,158,SWART,Monique,RSA,,W,20,,,,DNF
