,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,113,NORDÉN,Lisa,SWE,,W,36,,,00:43:03,
1,2,112,EKLUND,Nathalie,SWE,,W,29,,,00:43:51,
2,3,95,FAHLIN,Emilia,SWE,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,32,,,00:45:14,
3,4,104,GRANQVIST,Ebba,SWE,,W,24,,,00:45:36,
4,5,92,ALZÉN,Malin,SWE,,W,42,,,00:46:20,
5,6,98,BORGSTRÖM,Julia,SWE,NXTG RACING,W,19,,,00:46:46,
6,7,111,NILSSON,Hanna,SWE,PARKHOTEL VALKENBURG,W,28,,,00:47:29,
7,8,107,WINELL,Carin,SWE,,W,43,,,00:48:03,
8,9,105,JOHANSSON,Hanna,SWE,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,35,,,00:48:23,
9,10,101,MORIN,Linda,SWE,,W,32,,,00:48:31,
10,11,110,OLSSON,Sara,SWE,,W,30,,,00:48:35,
11,12,102,HÄGER,Sofia,SWE,,W,28,,,00:48:53,
12,13,106,DAHLQVIST,Johanna,SWE,,M,33,,,00:49:19,
13,14,94,LUNDMARK,Clara,SWE,,W,21,,,00:49:40,
14,15,90,ANDERSSON,Alice,SWE,,W,25,,,00:50:49,
15,16,91,CARLSSON,Charlotta,SWE,,W,27,,,00:51:12,
16,17,96,FLOOD,Gabrielle,SWE,,W,29,,,00:51:15,
17,18,100,REC,Natalie,SWE,,W,32,,,00:51:19,
18,19,99,ANDERSSON,Caroline,SWE,,W,19,,,00:51:54,
19,20,97,JOHANSSON,Anna,SWE,,W,40,,,00:52:03,
20,21,108,JUSLIN,Emma,SWE,,W,30,,,00:52:20,
21,22,109,STÅHL,Madeleine,SWE,,W,35,,,00:52:41,
22,23,93,FRANTZICH,Matilda,SWE,,W,25,,,00:52:58,
23,24,103,GUSTAFSSON,Alice,SWE,,W,26,,,00:55:01,
