,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,35,REUSSER,Marlen,SUI,EQUIPE PAULE KA,W,29,,,00:27:46.6,
1,2,37,CHABBEY,Elise,SUI,EQUIPE PAULE KA,W,27,,,00:28:49.4,
2,3,42,STIRNEMANN,Kathrin,SUI,EQUIPE PAULE KA,W,31,,,00:29:05.0,
3,4,36,NEFF,Jolanda,SUI,,W,27,,,00:29:27.9,
4,5,39,MAURER,Melanie,SUI,,W,32,,,00:29:32.3,
5,6,54,BURI,Noëlle,SUI,,W,19,,,00:30:50.7,
6,7,49,MATTHEY,Crystel,SUI,,W,35,,,00:30:55.3,
7,8,43,SEITZ,Aline,SUI,,W,23,,,00:31:01.3,
8,9,44,RÜEGG,Noemi,SUI,Cogeas Mettler Look Pro Cycling Team,W,19,,,00:31:02.5,
9,10,41,BURI,Fabienne,SUI,,W,21,,,00:31:02.7,
10,11,47,METTRAUX,Lena,SUI,,W,22,,,00:31:09.2,
11,12,40,KRÄHEMANN,Lara,SUI,Cogeas Mettler Look Pro Cycling Team,W,21,,,00:31:28.0,
12,13,38,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,00:31:35.0,
13,14,46,PERROT,Carole,SUI,,W,41,,,00:32:17.4,
14,15,50,BAUMANN,Sara,SUI,,W,27,,,00:32:18.8,
15,16,51,ASCHWANDEN,Rahel,SUI,,W,27,,,00:32:23.1,
16,17,52,GERBER,Judith,SUI,,W,41,,,00:32:24.7,
17,18,45,SONDEREGGER,Simone,SUI,,W,43,,,00:32:26.4,
18,19,48,SAUTEBIN,Marie-Lise,SUI,,W,25,,,00:32:39.5,
19,20,53,SCHNEEBERGER,Eléa,SUI,Cogeas Mettler Look Pro Cycling Team,W,22,,,00:32:50.7,
20,21,55,MARCHETTO,Martina Andrea,SUI,,W,20,,,00:33:58.4,
