,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,2:51:16,
1,2.0,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,+00,
2,3.0,61,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,+00,
3,4.0,152,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,+00,
4,5.0,81,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,+00,
5,6.0,43,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,+00,
6,7.0,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,+00,
7,8.0,52,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,+00,
8,9.0,131,NEYLAN,Rachel,AUS,AUSTRALIA,W,38,,,+00,
9,10.0,1,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,+00,
10,11.0,82,DOEBEL-HICKOK,Krista,USA,Rally Cycling,W,31,,,+00,
11,12.0,12,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,+00,
12,13.0,45,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,+00,
13,14.0,105,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,+00,
14,15.0,75,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,+00,
15,16.0,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,+00,
16,17.0,73,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,+00,
17,18.0,13,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,+00,
18,19.0,142,STANNARD,Elizabeth,AUS,,W,23,,,+00,
19,20.0,96,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,+00,
20,21.0,133,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,+00,
21,22.0,25,PRATT,Jessica,AUS,CANYON / /SRAM RACING,W,23,,,+00,
22,23.0,95,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,+00,
23,24.0,145,HEATHER,Taryn,AUS,,W,38,,,+00,
24,25.0,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,+11,
25,26.0,55,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,+13,
26,27.0,153,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,+13,
27,28.0,124,BUCHANAN,Rushlee,NZL,NEW ZEALAND,W,32,,,+18,
28,29.0,143,GUNNING,Jaime,AUS,,W,22,,,+20,
29,30.0,114,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,+22,
