,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,19,
1,2,104,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,15,
2,3,1,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,14,
3,4,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,9,
4,5,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,9,
5,6,154,WILSON,Bree,AUS,ROXSOLT ATTAQUER,W,33,,,8,
6,7,45,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,6,
7,8,6,BROWN,Grace,AUS,MITCHELTON SCOTT,W,28,,,6,
8,9,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,4,
9,10,5,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,4,
10,11,143,GUNNING,Jaime,AUS,,W,22,,,2,
11,12,52,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,1,
12,13,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,1,
