,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,12,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,136,
1,2,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,136,
2,3,81,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,130,
3,4,31,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,121,
4,5,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,94,
5,6,2,ELVIN,Gracie,AUS,MITCHELTON SCOTT,W,32,,,90,
6,7,113,FRAPPORTI,Simona,ITA,BEPINK,W,32,,,83,
7,8,15,HENDERSON,Anna,GBR,TEAM SUNWEB,W,22,,,82,
8,9,1,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,74,
9,10,61,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,68,
10,11,152,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,56,
11,12,143,GUNNING,Jaime,AUS,,W,22,,,53,
12,13,43,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,50,
13,14,51,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,40,
14,15,133,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,39,
15,16,13,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,37,
16,17,66,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,36,
17,18,131,NEYLAN,Rachel,AUS,AUSTRALIA,W,38,,,35,
18,19,124,BUCHANAN,Rushlee,NZL,NEW ZEALAND,W,32,,,33,
19,20,55,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,33,
20,21,141,RAYNOLDS,Matilda,AUS,,W,33,,,32,
21,22,96,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,29,
22,23,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,28,
23,24,84,GANZAR,Leigh Ann,USA,Rally Cycling,W,31,,,28,
24,25,65,LUCAS,Sharlotte,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,29,,,28,
25,26,75,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,26,
26,27,21,CROMWELL,Tiffany,AUS,CANYON / /SRAM RACING,W,32,,,26,
27,28,32,PLICHTA,Anna,POL,TREK - SEGAFREDO,W,28,,,24,
28,29,52,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,23,
29,30,53,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,23,
30,31,36,WORRACK,Trixi,GER,TREK - SEGAFREDO,W,39,,,23,
31,32,25,PRATT,Jessica,AUS,CANYON / /SRAM RACING,W,23,,,21,
32,33,6,BROWN,Grace,AUS,MITCHELTON SCOTT,W,28,,,20,
33,34,42,GUDERZO,Tatiana,ITA,ALE' BTC LJUBLJANA,W,36,,,19,
34,35,3,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,18,
35,36,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,16,
36,37,73,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,15,
37,38,64,CROOKS,Jenelle,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,15,
38,39,135,WHITEHOUSE,Georgia,AUS,AUSTRALIA,W,29,,,15,
39,40,26,RYAN,Alexis,USA,CANYON / /SRAM RACING,W,26,,,13,
40,41,106,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,11,
41,42,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,10,
42,43,4,ALLEN,Jessica,AUS,MITCHELTON SCOTT,W,27,,,10,
43,44,112,ZANARDI,Silvia,ITA,BEPINK,W,20,,,9,
