,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,W,38,,,3:19:01,
1,2.0,64,LONGO BORGHINI,Elisa,ITA,TREK - SEGAFREDO,W,29,,,3:20:15,
2,3.0,223,CONFALONIERI,Maria Giulia,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,27,,,3:21:07,
3,4.0,201,BALSAMO,Elisa,ITA,VALCAR - TRAVEL & SERVICE,W,22,,,3:21:07,
4,5.0,55,MAJERUS,Christine,LUX,BOELS DOLMANS CYCLINGTEAM,W,33,,,3:21:07,
5,6.0,21,GUTIERREZ RUIZ,Sheyla,ESP,MOVISTAR TEAM WOMEN,W,26,,,3:21:07,
6,7.0,31,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,3:21:07,
7,8.0,43,CECCHINI,Elena,ITA,CANYON / /SRAM RACING,W,28,,,3:21:07,
8,9.0,221,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,3:21:07,
9,10.0,212,DUVAL,Eugénie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,27,,,3:21:07,
10,11.0,216,WIEL,Jade,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,20,,,3:21:07,
11,12.0,82,FISHER-BLACK,Niamh,NZL,EQUIPE PAULE KA,W,20,,,3:21:07,
12,13.0,224,VIECELI,Lara,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,27,,,3:21:07,
13,14.0,65,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,3:21:07,
14,15.0,95,VAS,Kata Blanka,HUN,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,19,,,3:21:07,
15,16.0,81,HARVEY,Mikayla,NZL,EQUIPE PAULE KA,W,22,,,3:21:07,
16,17.0,253,NEYLAN,Rachel,AUS,,W,38,,,3:21:07,
17,18.0,2,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,3:21:07,
18,19.0,44,ERATH,Tanja,GER,CANYON / /SRAM RACING,W,31,,,3:21:07,
19,20.0,33,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,3:21:07,
20,21.0,53,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,W,26,,,3:21:12,
21,22.0,42,BARNES,Hannah,GBR,CANYON / /SRAM RACING,W,27,,,3:21:12,
22,23.0,51,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,3:21:15,
23,24.0,73,ZANARDI,Silvia,ITA,BEPINK,W,20,,,3:21:20,
24,25.0,24,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,3:21:22,
25,26.0,32,BUJAK,Eugenia,SLO,ALE' BTC LJUBLJANA,W,31,,,3:21:45,
26,27.0,22,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,3:22:00,
27,28.0,56,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,3:22:30,
28,29.0,226,RIJKES,Sarah,AUT,CERATIZIT - WNT PRO CYCLING TEAM,W,29,,,3:24:14,
29,30.0,85,WRIGHT,Sophie,GBR,EQUIPE PAULE KA,W,21,,,3:25:31,
30,31.0,133,GILL,Nadine Michaela,GER,,W,29,,,3:27:14,
31,32.0,35,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,3:30:50,
32,33.0,91,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,3:30:50,
33,34.0,193,BOTERO LOPEZ,Erika Milena,COL,COLOMBIA,W,20,,,3:30:50,
34,35.0,86,CHABBEY,Elise,SUI,EQUIPE PAULE KA,W,27,,,3:30:52,
35,36.0,34,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,3:30:52,
36,37.0,26,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,3:30:52,
37,38.0,41,GAFINOVITZ,Rotem,ISR,CANYON / /SRAM RACING,W,28,,,3:30:52,
38,39.0,141,ARZUFFI,Alice Maria,ITA,BIZKAIA - DURANGO,W,26,,,3:30:52,
39,40.0,106,BECKER,Charlotte,GER,Team Arkea,W,37,,,3:30:52,
40,41.0,251,JASINSKA,Malgorzata,POL,,W,36,,,3:30:52,
41,42.0,45,KLEIN,Lisa,GER,CANYON / /SRAM RACING,W,24,,,3:30:52,
42,43.0,3,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,3:30:52,
43,44.0,23,GONZALEZ BLANCO,Alicia,ESP,MOVISTAR TEAM WOMEN,W,25,,,3:30:52,
44,45.0,206,POLLICINI,Silvia,ITA,VALCAR - TRAVEL & SERVICE,W,22,,,3:30:52,
45,46.0,252,PALADIN,Asja,ITA,,W,26,,,3:30:52,
46,47.0,225,ASENCIO,Laura,FRA,CERATIZIT - WNT PRO CYCLING TEAM,W,22,,,3:30:52,
47,48.0,66,WORRACK,Trixi,GER,TREK - SEGAFREDO,W,39,,,3:30:52,
48,49.0,61,CORDON RAGOT,Audrey,FRA,TREK - SEGAFREDO,W,31,,,3:30:52,
49,50.0,46,RIFFEL,Christa,GER,CANYON / /SRAM RACING,W,22,,,3:34:02,
50,51.0,191,UPEGUI QUEVEDO,Carolina,COL,COLOMBIA,W,31,,,3:34:02,
51,52.0,71,CATARZI,Giorgia,ITA,BEPINK,W,19,,,3:34:02,
52,53.0,116,ERAUD,Severine,FRA,Charente - Maritime Women Cycling,W,25,,,3:34:02,
53,54.0,93,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,3:34:02,
54,55.0,74,VAN NECK,Melissa,CZE,BEPINK,W,29,,,3:34:02,
55,56.0,184,BENITO PELLICER,Mireia,ESP,MASSI TACTIC WOMEN TEAM,W,24,,,3:34:02,
56,57.0,94,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,3:34:02,
57,58.0,162,LAIZANE,Lija,LAT,ENEICAT -RBH GLOBAL,W,27,,,3:34:02,
58,59.0,75,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,3:34:02,
59,60.0,214,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,3:34:02,
60,61.0,113,COUTINHO,Alice,FRA,Charente - Maritime Women Cycling,W,20,,,3:34:02,
61,62.0,151,ESCURSELL VALERO,Elisabet,ESP,RIO MIERA - CANTABRIA DEPORTE,W,24,,,3:34:02,
62,63.0,181,PILOTE-FORTIN,Gabrielle,CAN,MASSI TACTIC WOMEN TEAM,W,27,,,3:34:02,
63,64.0,254,VIGILIA,Alessia,ITA,,W,21,,,3:34:02,
64,65.0,25,OYARBIDE JIMENEZ,Lourdes,ESP,MOVISTAR TEAM WOMEN,W,26,,,3:34:02,
65,66.0,213,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,3:34:02,
66,67.0,205,PIRRONE,Elena,ITA,VALCAR - TRAVEL & SERVICE,W,21,,,3:34:02,
