,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,34,ATEHORTUA HOYOS,Daniela,COL,,W,21,,,10:31:54,
1,2,52,CARBONARI,Anastasia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,10:32:11,
2,3,45,GALIMULLINA,Iuliia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,10:32:11,
3,4,55,MARCHESINI,Giulia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,10:32:11,
4,5,131,EUSTACHE,Emeline,FRA,,W,20,,,10:32:11,
5,6,103,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,10:32:13,
6,7,111,SARKULOVA,Alina,KAZ,,W,21,,,10:32:15,
7,8,13,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,10:32:15,
8,9,44,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,10:32:15,
9,10,144,KULYNYCH,Olha,UKR,CICLOTEL,W,20,,,10:32:15,
10,11,166,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,10:32:15,
11,12,133,MIERMONT,Dilyxine,FRA,,W,20,,,10:32:15,
12,13,62,GÅSKJENN,Ingvild,NOR,HITEC PRODUCTS - BIRK SPORT,W,22,,,10:32:15,
13,14,3,SARAH,Smith Megan,RSA,,W,21,,,10:32:15,
14,15,93,FORTIN,Emilie,CAN,Macogep Tornatech Girondins de Bordeaux,W,21,,,10:32:15,
15,16,51,COLLINELLI,Sofia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,19,,,10:32:32,
16,17,33,BOTERO LOPEZ,Erika Milena,COL,,W,20,,,10:32:34,
17,18,35,TOCONAS RUIZ,Laura Milena,COL,,W,19,,,10:32:34,
18,19,74,PACHSHENKO,Svetlana,KAZ,ASTANA WOMEN'S TEAM,W,20,,,10:32:42,
19,20,73,SANAKBAYEVA,Zhanerke,KAZ,,W,22,,,10:32:56,
20,21,64,LUTRO,Amalie,NOR,HITEC PRODUCTS - BIRK SPORT,W,20,,,10:32:59,
21,22,162,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,10:33:08,
22,23,164,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,10:33:12,
23,24,165,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,10:33:18,
24,25,16,LLEDIAS VILLEGAS,Julieta,MEX,AGOLICO,W,19,,,10:33:22,
25,26,36,GIRALDO MARIN,Daniela,COL,,W,22,,,10:33:25,
26,27,113,TOLEMISSOVA,Assem,KAZ,,W,19,,,10:33:36,
27,28,56,MATTEOLI,Emilia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,10:33:50,
28,29,94,SWAN,Callie,CAN,Macogep Tornatech Girondins de Bordeaux,W,22,,,10:34:57,
29,30,112,LYNNIK,Anastassiya,KAZ,,W,19,,,10:34:59,
30,31,105,LENAERS,Jade,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,19,,,10:35:09,
31,32,24,HEŘMANOVSKÁ,Hana,CZE,,W,20,,,10:35:25,
32,33,136,WEINGARTEN,Audrey,FRA,,W,20,,,10:37:00,
33,34,125,JORDÁN,Dorka,HUN,,W,18,,,10:39:00,
34,35,141,VAN HAAFTEN,Kirstie,NED,CICLOTEL,W,21,,,10:40:14,
35,36,134,PARET PEINTRE,Maëva,FRA,,W,21,,,10:40:28,
36,37,95,EL GHOUATE,Basma,MAR,,W,18,,,10:57:45,
37,38,135,BERNIGAUD,Lola,FRA,,W,18,,,10:57:52,
38,39,154,LAGERSHAUSEN,Marie,GER,,W,21,,,10:58:01,
