,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,2,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,W,38,,,2:51:17,
1,2.0,11,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,2:51:35,
2,3.0,183,LONGO BORGHINI,Elisa,ITA,TREK - SEGAFREDO,W,29,,,2:52:22,
3,4.0,75,KOPPENBURG,Clara,GER,EQUIPE PAULE KA,W,25,,,2:52:24,
4,5.0,152,CAVALLI,Marta,ITA,VALCAR - TRAVEL & SERVICE,W,22,,,2:52:55,
5,6.0,66,MOOLMAN-PASIO,Ashleigh,RSA,CCC - LIV,W,35,,,2:52:55,
6,7.0,184,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,2:52:55,
7,8.0,3,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,2:52:55,
8,9.0,21,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,2:52:55,
9,10.0,141,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,2:52:55,
10,11.0,171,LUDWIG,Cecilie Uttrup,DEN,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,25,,,2:52:55,
11,12.0,45,SHAPIRA,Omer,ISR,CANYON / /SRAM RACING,W,26,,,2:52:55,
12,13.0,72,FISHER-BLACK,Niamh,NZL,EQUIPE PAULE KA,W,20,,,2:52:55,
13,14.0,65,ROOIJAKKERS,Pauliena,NED,CCC - LIV,W,27,,,2:52:55,
14,15.0,53,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,2:52:55,
15,16.0,142,MAGNALDI,Erica,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,28,,,2:52:55,
16,17.0,61,VOS,Marianne,NED,CCC - LIV,W,33,,,2:53:27,
