,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,25,SHEKEL,Olga,UKR,UKRAINE,W,26,,,2:42:15,
1,2.0,12,KIRILLOVA,Polina,RUS,Sestroretsk,W,23,,,2:42:15,
2,3.0,13,CHERNYSHOVA,Galina,RUS,Sestroretsk,W,27,,,2:42:15,
3,4.0,64,NOVOLODSKAYA,Maria,RUS,Cogeas Mettler Look Pro Cycling Team,W,21,,,2:42:28,
4,5.0,26,SOLOVEI,Ganna,UKR,UKRAINE,W,28,,,2:42:28,
5,6.0,51,DRONOVA,Tamara,RUS,,W,27,,,2:42:28,
6,7.0,62,KLIMOVA,Diana,RUS,Cogeas Mettler Look Pro Cycling Team,W,24,,,2:42:28,
7,8.0,63,MILIAEVA,Mariia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,2:42:28,
8,9.0,73,SHARGA,Olena,UKR,LVIV Cycling Team,W,34,,,2:42:28,
9,10.0,91,SARKULOVA,Alina,KAZ,,W,21,,,2:42:28,
10,11.0,52,DOBRYNINA,Kseniia,RUS,SERVETTO - PIUMATE - BELTRAMI TSA,W,26,,,2:42:28,
11,12.0,21,RIABCHENKO,Tetiana,UKR,UKRAINE,W,31,,,2:42:28,
12,13.0,82,UMUTZHANOVA,Makhabbat,KAZ,KAZAKHSTAN,W,26,,,2:42:28,
13,14.0,16,SYRADOEVA,Margarita,RUS,Sestroretsk,W,25,,,2:42:28,
14,15.0,61,MALKOVA,Daria,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,2:42:28,
15,16.0,53,ARCHIBASOVA,Elizaveta,RUS,,W,20,,,2:42:28,
16,17.0,104,BAIDAK,Anna,RUS,RUSSIAN FEDERATION,W,20,,,2:42:28,
17,18.0,22,MELNYCHUK,Viktoriia,UKR,UKRAINE,W,22,,,2:42:28,
18,19.0,101,OSHURKOVA,Elizaveta,RUS,RUSSIAN FEDERATION,W,29,,,2:42:28,
19,20.0,72,BIRYUKOVA,Julia,UKR,LVIV Cycling Team,W,22,,,2:42:28,
20,21.0,11,IVANOVA,Irina,RUS,Sestroretsk,W,22,,,2:42:28,
21,22.0,31,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,2:42:28,
22,23.0,81,SAIFUTDINOVA,Natalya,KAZ,KAZAKHSTAN,W,31,,,2:42:28,
23,24.0,71,NAHIRNA,Anna,UKR,LVIV Cycling Team,W,32,,,2:42:28,
24,25.0,106,LIKHANOVA,Marina,RUS,RUSSIAN FEDERATION,W,30,,,2:42:28,
25,26.0,34,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,2:42:39,
26,27.0,35,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,2:42:44,
27,28.0,32,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,2:44:57,
28,29.0,83,SANAKBAYEVA,Zhanerke,KAZ,KAZAKHSTAN,W,22,,,2:45:46,
29,30.0,33,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,2:45:46,
