,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,1,MALKOVA,Daria,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,2:07:51,
1,2,3,MILIAEVA,Mariia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,2:07:51,
2,3,62,SYRADOEVA,Margarita,RUS,Sestroretsk,W,25,,,2:07:51,
3,4,51,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,2:07:51,
4,5,53,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,2:07:51,
5,6,81,UVAROVA,Marina,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,2:07:51,
6,7,21,RIABCHENKO,Tetiana,UKR,,W,31,,,2:07:51,
7,8,23,SEMENOVA,Iryna,UKR,,W,30,,,2:08:19,
8,9,63,IVANOVA,Irina,RUS,Sestroretsk,W,22,,,2:08:25,
9,10,6,GALIMULLINA,Iuliia,RUS,Cogeas Mettler Look Pro Cycling Team,W,19,,,2:08:30,
10,11,31,UMUTZHANOVA,Makhabbat,KAZ,ASTANA WOMEN'S TEAM,W,26,,,2:08:30,
11,12,64,VINOGRADOVA,Viktoriia,RUS,Sestroretsk,W,21,,,2:08:30,
12,13,24,VYSOTSKA,Ievgeniia,UKR,,W,45,,,2:08:41,
13,14,65,CHERNYSHOVA,Galina,RUS,Sestroretsk,W,27,,,2:08:41,
14,15,82,DEYKO,Olga,RUS,,W,25,,,2:08:50,
15,16,102,SARKULOVA,Alina,KAZ,,W,21,,,2:09:08,
16,17,32,POTAPOVA,Faina,KAZ,,W,24,,,2:09:16,
17,18,25,SHARGA,Olena,UKR,LVIV Cycling Team,W,34,,,2:09:16,
18,19,61,KIRILLOVA,Polina,RUS,Sestroretsk,W,23,,,2:09:25,
19,20,5,OSHURKOVA,Elizaveta,RUS,,W,29,,,2:10:10,
20,21,22,MELNYCHUK,Viktoriia,UKR,,W,22,,,2:13:41,
21,22,56,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,2:13:59,
22,23,83,ARCHIBASOVA,Elizaveta,RUS,,W,20,,,2:15:06,
23,24,92,KRYLOVA,Seda,RUS,,W,26,,,2:16:50,
24,25,34,SAIFUTDINOVA,Natalya,KAZ,ASTANA WOMEN'S TEAM,W,31,,,2:16:59,
25,26,72,BEKAR,Azize,TUR,,W,19,,,2:17:13,
26,27,2,RYTSEVA,Alena,RUS,Cogeas Mettler Look Pro Cycling Team,W,20,,,2:17:24,
27,28,55,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,2:17:37,
28,29,91,GOGOLEVA,Elena,RUS,,W,40,,,2:17:37,
29,30,103,TOLEMISSOVA,Assem,KAZ,,W,19,,,2:17:37,
30,31,95,STEPANOVA,Yekaterina,KAZ,,W,33,,,2:18:05,
