,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,261,FISHER-BLACK,Niamh,NZL,NEW ZEALAND,W,20,,,03:28:57,
1,2.0,263,SHEPPARD,Samara,NZL,NEW ZEALAND,W,30,,,03:29:25,
2,3.0,204,BLOOR,Ella,AUS,AUSTRALIA,W,25,,,03:30:48,
3,4.0,202,RAYNOLDS,Matilda,AUS,AUSTRALIA,W,33,,,03:31:27,
4,5.0,252,MCCALLUM,Kirsty,NZL,NEW ZEALAND,W,28,,,03:31:27,
5,6.0,251,FRASER,Elyse,NZL,NEW ZEALAND,W,32,,,03:31:27,
6,7.0,203,STANNARD,Elizabeth,AUS,AUSTRALIA,W,23,,,03:31:32,
7,8.0,232,EHRLER,Désirée,SUI,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,29,,,03:36:22,
8,9.0,224,Swain,Jorja,NZL,NEW ZEALAND,W,19,,,03:36:22,
9,10.0,264,CROOKS,Cecilia,NZL,NEW ZEALAND,W,19,,,03:36:22,
10,11.0,213,WIGHTMAN,Kate,NZL,NEW ZEALAND,W,27,,,03:36:22,
11,12.0,212,BAUER,Jojo,NZL,NEW ZEALAND,W,29,,,03:36:22,
12,13.0,243,DEACON,Kirsty,AUS,AUSTRALIA,W,23,,,03:37:33,
13,14.0,221,EVANS,Alicia,NZL,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,33,,,03:41:14,
14,15.0,233,MADIGAN,Maria,AUS,AUSTRALIA,W,30,,,03:41:16,
15,16.0,205,MATTOCKS,Briony,AUS,AUSTRALIA,W,35,,,03:41:45,
16,17.0,201,PATCH,Molly,GBR,GREAT BRITAIN,W,25,,,03:42:58,
17,18.0,262,BOON,Lee,NZL,NEW ZEALAND,W,19,,,03:42:58,
18,19.0,234,RICHARDS,Katie,NZL,NEW ZEALAND,W,47,,,03:44:21,
19,20.0,215,BUISSINK,Poppy,NZL,NEW ZEALAND,W,19,,,03:45:08,
20,,211,NIGHTINGALE,Stella,NZL,NEW ZEALAND,W,19,,,,OTL
21,,223,ARBUCKLE,Libby,NZL,NEW ZEALAND,W,21,,,,OTL
22,,231,WHITSON,Genevieve,GBR,GREAT BRITAIN,W,40,,,,OTL
23,,241,BRUNTON-MAKEHAM,Grace,AUS,AUSTRALIA,W,31,,,,OTL
24,,242,HENNESSEY,Deborah,AUS,AUSTRALIA,W,47,,,,OTL
25,,244,SLAVIN,Jena,AUS,AUSTRALIA,W,35,,,,OTL
26,,253,SMITH,Emma,NZL,NEW ZEALAND,W,21,,,,OTL
27,,254,STUBBS,Bethan,GBR,GREAT BRITAIN,W,28,,,,OTL
28,,214,PAGE,Kerri-Anne,NZL,NEW ZEALAND,W,32,,,,DNF
29,,222,MATTHEWS,Amelia,NZL,NEW ZEALAND,W,20,,,,DNF
