,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,5,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,2:39:47,
1,2.0,115,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,2:39:47,
2,3.0,23,VAN DEN BOS,Jip,NED,BOELS DOLMANS CYCLINGTEAM,W,24,,,2:39:47,
3,4.0,142,BALDUCCI,Michela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,25,,,2:39:47,
4,5.0,101,RODRIGUEZ REVERT,Sofia,ESP,SOPELA WOMEN'S TEAM,W,21,,,2:39:47,
5,6.0,21,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,2:39:47,
6,7.0,152,GONZALEZ BLANCO,Alicia,ESP,SPAIN,W,25,,,2:39:47,
7,8.0,137,SWINKELS,Karlijn,NED,PARKHOTEL VALKENBURG,W,22,,,2:39:47,
8,9.0,1,KOPPENBURG,Clara,GER,BIGLA - KATUSHA,W,25,,,2:39:47,
9,10.0,6,CHABBEY,Elise,SUI,BIGLA - KATUSHA,W,27,,,2:39:47,
10,11.0,127,TOMASI,Laura,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,2:39:47,
11,12.0,112,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,2:39:47,
12,13.0,114,SALAZAR VAZQUEZ,Lizbeth Yareli,MEX,ASTANA WOMEN'S TEAM,W,24,,,2:39:52,
13,14.0,113,SHEKEL,Olga,UKR,ASTANA WOMEN'S TEAM,W,26,,,2:40:06,
14,15.0,37,PARKINSON,Abby-Mae,GBR,LOTTO SOUDAL LADIES,W,23,,,2:40:06,
15,16.0,133,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,W,24,,,2:40:21,
16,17.0,181,VERHULST,Gladys,FRA,Team Arkea,W,23,,,2:40:21,
17,18.0,131,BUIJSMAN,Nina,NED,PARKHOTEL VALKENBURG,W,23,,,2:40:21,
18,19.0,22,SCHNEIDER,Skylar,USA,BOELS DOLMANS CYCLINGTEAM,W,22,,,2:40:21,
19,20.0,75,MOBERG,Emilie,NOR,DROPS,W,29,,,2:40:21,
20,21.0,111,IVANIUK,Maryna,UKR,ASTANA WOMEN'S TEAM,W,30,,,2:40:21,
21,22.0,11,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,2:40:21,
22,23.0,85,BAKKER,Minke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,2:40:21,
23,24.0,33,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,2:40:21,
