,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,11,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,36,
1,2,133,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,W,24,,,28,
2,3,21,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,11,
3,4,1,KOPPENBURG,Clara,GER,BIGLA - KATUSHA,W,25,,,11,
4,5,7,REUSSER,Marlen,SUI,BIGLA - KATUSHA,W,29,,,10,
5,6,151,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,9,
6,7,25,HALL,Katharine,USA,BOELS DOLMANS CYCLINGTEAM,W,33,,,9,
7,8,112,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,5,
8,9,2,THOMAS,Leah,USA,BIGLA - KATUSHA,W,31,,,4,
9,10,43,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,2,
10,11,155,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,2,
11,12,14,HAMMES,Kathrin,GER,CERATIZIT - WNT PRO CYCLING TEAM,W,31,,,2,
12,13,12,MAGNALDI,Erica,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,28,,,1,
13,14,4,BANKS,Elizabeth,GBR,BIGLA - KATUSHA,W,30,,,1,
14,15,6,CHABBEY,Elise,SUI,BIGLA - KATUSHA,W,27,,,1,
15,16,131,BUIJSMAN,Nina,NED,PARKHOTEL VALKENBURG,W,23,,,1,
