,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,123,MARTURANO,Greta,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,12:40:54,
1,2,3,WRIGHT,Sophie,GBR,BIGLA - KATUSHA,W,21,,,12:44:18,
2,3,86,VAS,Kata Blanka,HUN,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,19,,,12:51:29,
3,4,101,RODRIGUEZ REVERT,Sofia,ESP,SOPELA WOMEN'S TEAM,W,21,,,12:54:59,
4,5,126,SILVESTRI,Debora,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,12:55:33,
5,6,61,GOROSTIZA ULLOA,Aroa,ESP,BIZKAIA - DURANGO,W,21,,,12:55:41,
6,7,192,BORGSTRÖM,Julia,SWE,NXTG RACING,W,19,,,12:55:44,
7,8,162,COLBORNE,Henrietta,GBR,BIEHLER KRUSH PRO CYCLING,W,22,,,12:58:10,
8,9,92,TRIAS JORDAN,Mireia,ESP,MASSI TACTIC WOMEN TEAM,W,20,,,12:58:19,
9,10,143,BORGHESI,Letizia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,12:58:48,
10,11,191,AMMERLAAN,Rozemarijn,NED,NXTG RACING,W,20,,,13:02:19,
11,12,5,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,13:03:22,
12,13,53,PIRRONE,Elena,ITA,VALCAR - TRAVEL & SERVICE,W,21,,,13:04:17,
13,14,122,BARIANI,Giorgia,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,13:04:18,
14,15,145,D'AGOSTIN,Nicole,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,21,,,13:04:47,
15,16,134,RAAIJMAKERS,Marit,NED,PARKHOTEL VALKENBURG,W,21,,,13:05:34,
16,17,127,TOMASI,Laura,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,13:10:16,
17,18,207,GARDNER,Illi,GBR,CAMS - TIFOSI,W,21,,,13:10:46,
18,19,173,LARRARTE ARTEAGA,Eukene,ESP,ENEICAT -RBH GLOBAL,W,22,,,13:16:18,
19,20,194,HOOLWERF,Cathalijne,NED,NXTG RACING,W,20,,,13:23:53,
20,21,121,DALLA VALLE,Elisa,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,13:24:51,
21,22,107,ORTIZ BONILLA,Emma,ESP,SOPELA WOMEN'S TEAM,W,22,,,13:27:07,
22,23,124,MONTICOLO,Iris,ITA,TOP GIRLS FASSA BORTOLO,W,20,,,13:27:40,
23,1,21,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,12:30:54,
24,2,1,KOPPENBURG,Clara,GER,BIGLA - KATUSHA,W,25,,,12:31:29,
25,3,133,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,W,24,,,12:32:01,
26,4,2,THOMAS,Leah,USA,BIGLA - KATUSHA,W,31,,,12:33:15,
27,5,7,REUSSER,Marlen,SUI,BIGLA - KATUSHA,W,29,,,12:33:29,
28,6,25,HALL,Katharine,USA,BOELS DOLMANS CYCLINGTEAM,W,33,,,12:34:03,
29,7,151,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,12:34:05,
30,8,12,MAGNALDI,Erica,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,28,,,12:34:14,
31,9,43,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,12:34:15,
32,10,41,BORGLI,Stine,NOR,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,12:35:33,
33,11,11,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,12:35:34,
34,12,72,LOWDEN,Joscelin,GBR,DROPS,W,33,,,12:35:44,
35,13,4,BANKS,Elizabeth,GBR,BIGLA - KATUSHA,W,30,,,12:36:42,
36,14,115,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,12:39:08,
37,15,237,GILL,Nadine Michaela,GER,,W,29,,,12:39:35,
38,16,26,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,12:39:52,
39,17,153,MARTINEZ BONAFE,Cristina,ESP,,W,24,,,12:40:16,
40,18,135,NILSSON,Hanna,SWE,PARKHOTEL VALKENBURG,W,28,,,12:40:57,
41,19,6,CHABBEY,Elise,SUI,BIGLA - KATUSHA,W,27,,,12:43:38,
42,20,42,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,12:44:00,
43,21,31,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,W,27,,,12:44:00,
44,22,113,SHEKEL,Olga,UKR,ASTANA WOMEN'S TEAM,W,26,,,12:44:03,
45,23,33,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,12:44:20,
46,24,242,SHAPIRA,Omer,ISR,CANYON / /SRAM RACING,W,26,,,12:44:25,
47,25,23,VAN DEN BOS,Jip,NED,BOELS DOLMANS CYCLINGTEAM,W,24,,,12:45:01,
48,26,155,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,12:46:32,
49,27,14,HAMMES,Kathrin,GER,CERATIZIT - WNT PRO CYCLING TEAM,W,31,,,12:46:35,
50,28,131,BUIJSMAN,Nina,NED,PARKHOTEL VALKENBURG,W,23,,,12:47:16,
51,29,112,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,12:48:23,
52,30,27,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,W,26,,,12:49:46,
53,31,65,HOLDEN,Elizabeth,GBR,BIZKAIA - DURANGO,W,23,,,12:52:29,
54,32,37,PARKINSON,Abby-Mae,GBR,LOTTO SOUDAL LADIES,W,23,,,12:52:42,
55,33,202,FINNEY,Jessica,GBR,CAMS - TIFOSI,W,25,,,12:53:01,
56,34,102,STEELS,Claire,GBR,SOPELA WOMEN'S TEAM,W,34,,,12:53:28,
57,35,32,FIDANZA,Arianna,ITA,LOTTO SOUDAL LADIES,W,25,,,12:54:41,
58,36,142,BALDUCCI,Michela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,25,,,12:54:59,
59,37,152,GONZALEZ BLANCO,Alicia,ESP,MOVISTAR TEAM WOMEN,W,25,,,12:55:05,
60,38,111,IVANIUK,Maryna,UKR,ASTANA WOMEN'S TEAM,W,30,,,12:55:26,
61,39,45,LYSTAD,Vibeke,NOR,,W,45,,,12:55:28,
62,40,156,OYARBIDE JIMENEZ,Lourdes,ESP,MOVISTAR TEAM WOMEN,W,26,,,12:55:29,
63,41,184,ALLIN,Pauline,FRA,Team Arkea,W,25,,,12:55:33,
64,42,96,ESPINOLA,Agua Marina,PAR,MASSI TACTIC WOMEN TEAM,W,24,,,12:55:51,
65,43,57,CAMPBELL,Teniel,TTO,VALCAR - TRAVEL & SERVICE,W,23,,,12:56:44,
66,44,217,YAZDANI,Somayeh,IRI,VIB - Natural Greatness,W,30,,,12:56:59,
67,45,136,KASPER,Romy,GER,PARKHOTEL VALKENBURG,W,32,,,12:57:15,
68,46,94,CREAMER,Lauren,IRL,MASSI TACTIC WOMEN TEAM,W,28,,,12:57:39,
69,47,82,CHRISTOFOROU,Antri,CYP,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,28,,,12:57:39,
70,48,172,LAIZANE,Lija,LAT,ENEICAT -RBH GLOBAL,W,27,,,12:57:51,
71,49,46,RAVNDAL,Birgitte,NOR,,W,29,,,13:00:54,
72,50,201,POWELL,Jennifer,GBR,CAMS - TIFOSI,W,33,,,13:01:27,
73,51,55,SANGUINETI,Ilaria,ITA,VALCAR - TRAVEL & SERVICE,W,26,,,13:02:03,
74,52,205,DURRELL,Rebecca,GBR,CAMS - TIFOSI,W,32,,,13:02:18,
75,53,17,RIJKES,Sarah,AUT,CERATIZIT - WNT PRO CYCLING TEAM,W,29,,,13:02:37,
76,54,91,PILOTE-FORTIN,Gabrielle,CAN,MASSI TACTIC WOMEN TEAM,W,27,,,13:02:58,
77,55,76,PENTON,Sara,SWE,DROPS,W,32,,,13:04:06,
78,56,157,TERUEL RIBES,Alba,ESP,MOVISTAR TEAM WOMEN,W,24,,,13:04:06,
79,57,56,PERSICO,Silvia,ITA,VALCAR - TRAVEL & SERVICE,W,23,,,13:04:18,
80,58,165,VAN REGENMORTEL,Laura,NED,BIEHLER KRUSH PRO CYCLING,W,28,,,13:07:23,
81,59,203,TINDLEY,Jo,GBR,CAMS - TIFOSI,W,33,,,13:07:23,
82,60,222,MEDINA GONZALEZ,Maria De Los Angeles,ESP,RIO MIERA - CANTABRIA DEPORTE,W,30,,,13:08:46,
83,61,84,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,13:11:30,
84,62,67,OBERHOLZER,Carla,RSA,BIZKAIA - DURANGO,W,33,,,13:13:57,
85,63,85,BAKKER,Minke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,23,,,13:22:23,
86,64,83,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,13:22:50,
87,65,185,EL HAYANI,Fatima Zahra,MAR,Team Arkea,W,24,,,13:23:29,
88,66,97,TRIAS JORDAN,Ariadna,ESP,MASSI TACTIC WOMEN TEAM,W,25,,,13:26:46,
