,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,35,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,02:15:56,
1,2.0,16,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,02:15:56,
2,3.0,115,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,02:15:56,
3,4.0,26,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,02:15:56,
4,5.0,5,ROBERTS,Jessica,GBR,MITCHELTON SCOTT,W,21,,,02:15:56,
5,6.0,91,GUNNING,Jaime,AUS,,W,22,,,02:15:56,
6,7.0,51,AHUMADA RIQUELME,Denisse,CHI,,W,27,,,02:15:56,
7,8.0,62,TALBOT,Josie,AUS,,W,24,,,02:15:56,
8,9.0,82,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,02:15:56,
9,10.0,96,RAYNOLDS,Matilda,AUS,,W,33,,,02:15:56,
10,11.0,53,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,02:15:56,
11,12.0,21,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,02:15:56,
12,13.0,61,PRATT,Jessica,AUS,,W,23,,,02:15:56,
13,14.0,13,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,02:15:56,
14,15.0,94,HEATHER,Taryn,AUS,,W,38,,,02:15:56,
15,16.0,1,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,02:15:56,
16,17.0,33,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,02:15:56,
17,18.0,83,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,02:15:56,
18,19.0,11,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,02:15:56,
19,20.0,73,MERRICK,Jenna,NZL,,W,20,,,02:15:56,
20,21.0,32,PATTARO,Francesca,ITA,ASTANA WOMEN'S TEAM,W,25,,,02:16:00,
21,22.0,63,WHITEHOUSE,Georgia,AUS,,W,29,,,02:16:00,
22,23.0,6,ELVIN,Gracie,AUS,MITCHELTON SCOTT,W,32,,,02:16:04,
23,24.0,31,IVANIUK,Maryna,UKR,ASTANA WOMEN'S TEAM,W,30,,,02:16:12,
24,25.0,2,ROY,Sarah,AUS,MITCHELTON SCOTT,W,34,,,02:16:27,
