,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,5,SPRATT,Amanda,AUS,,W,33,,,02:57:59,
1,2.0,15,BARROW,Justine,AUS,,W,41,,,02:58:00,
2,3.0,2,BROWN,Grace,AUS,,W,28,,,02:58:10,
3,4.0,13,HERFOSS,Emily,AUS,,W,26,,,03:03:40,
4,5.0,10,HOSKING,Chloe,AUS,,W,30,,,03:03:50,
5,6.0,8,GILLOW,Shara,AUS,,W,33,,,03:03:50,
6,7.0,14,MULLENS,Peta,AUS,,W,32,,,03:03:50,
7,8.0,21,GUNNING,Jaime,AUS,,W,22,,,03:03:50,
8,9.0,7,CHAPMAN,Brodie,AUS,,W,29,,,03:03:50,
9,10.0,24,RAYNOLDS,Matilda,AUS,,W,33,,,03:03:50,
10,11.0,12,PRATT,Jessica,AUS,,W,23,,,03:03:50,
11,12.0,47,DEACON,Kirsty,AUS,,W,23,,,03:03:50,
12,13.0,29,FRAIN,Nicole,AUS,,W,28,,,03:03:50,
13,14.0,19,WRIGHT,Madeline,AUS,,W,35,,,03:03:50,
14,15.0,25,HEATHER,Taryn,AUS,,W,38,,,03:03:50,
15,16.0,51,NEYLAN,Rachel,AUS,,W,38,,,03:03:50,
16,17.0,4,KENNEDY,Lucy,AUS,,W,32,,,03:03:50,
17,18.0,1,GIGANTE,Sarah,AUS,,W,20,,,03:03:50,
18,19.0,18,WILSON,Bree,AUS,,W,33,,,03:04:23,
19,20.0,61,ROSEMAN-GANNON,Ruby,AUS,,W,22,,,03:04:23,
20,21.0,68,LUXFORD,Laura,AUS,,W,34,,,03:04:23,
21,22.0,65,ATKINS,Julia,AUS,,W,24,,,03:04:23,
22,23.0,66,PATE,Amber,AUS,,W,25,,,03:04:23,
23,24.0,72,MCCONNELL,Rebecca,AUS,,W,29,,,03:04:23,
24,25.0,26,HARRIS,Holly,AUS,,W,25,,,03:04:23,
25,26.0,69,LEAHY,Elle,AUS,,W,28,,,03:09:10,
26,27.0,36,WATTS,Emily,AUS,,W,20,,,03:10:10,
27,28.0,27,STANNARD,Elizabeth,AUS,,W,23,,,03:10:10,
28,,54,THOMAS,Lauren,AUS,,W,20,,,,DSQ
29,,3,ALLEN,Jessica,AUS,,W,27,,,,DNF
30,,6,ELVIN,Gracie,AUS,,W,32,,,,DNF
31,,9,KITCHEN,Lauren,AUS,,W,30,,,,DNF
32,,11,CROMWELL,Tiffany,AUS,,W,32,,,,DNF
33,,16,MACDONALD,Nicola,AUS,,W,22,,,,DNF
34,,17,CHILTON,Emma,AUS,,W,22,,,,DNF
35,,20,PERRY,Kate,AUS,,W,30,,,,DNF
36,,22,JONES,Ashlee,AUS,,W,19,,,,DNF
37,,23,BLOOR,Ella,AUS,,W,25,,,,DNF
38,,28,MIANSAROW,Georgia,AUS,,W,28,,,,DNF
39,,30,RICARDO,Gina,AUS,,W,26,,,,DNF
40,,31,WHITEHOUSE,Georgia,AUS,,W,29,,,,DNF
41,,33,LOUW,Anya,AUS,,W,20,,,,DNF
42,,34,MARTIN-WALLACE,Alex,AUS,,W,20,,,,DNF
43,,35,EDWARDS,Sophie,AUS,,W,20,,,,DNF
44,,37,HARGRAVE,Breanna,AUS,,W,37,,,,DNF
45,,38,FALZARANO,Ella,AUS,,W,28,,,,DNF
46,,39,HASSETT,Jordyn,AUS,,W,23,,,,DNF
47,,40,MOLLENHAUER,Gemma,AUS,,W,28,,,,DNF
48,,41,AZZOPARDI,Lucia,AUS,,W,19,,,,DNF
49,,43,SMITH,Pia,AUS,,W,28,,,,DNF
50,,44,VINE,Bre,AUS,,W,25,,,,DNF
51,,45,BRUNTON-MAKEHAM,Grace,AUS,,W,28,,,,DNF
52,,46,WOOLSTON,Kathryn,AUS,,W,51,,,,DNF
53,,48,MITSIGEORGIS,Nicole,AUS,,W,28,,,,DNF
54,,49,HEFFERNAN,Chloe,AUS,,W,21,,,,DNF
55,,52,TALBOT,Josie,AUS,,W,24,,,,DNF
56,,53,WIASAK,Rebecca,AUS,,W,36,,,,DNF
57,,55,BANERJEE,Katie,AUS,,W,47,,,,DNF
58,,56,RICHARDS,Darcie,AUS,,W,19,,,,DNF
59,,57,HAINES,Jade,AUS,,W,21,,,,DNF
60,,59,KAY,Jennifer,AUS,,W,31,,,,DNF
61,,60,MORAN,Chloe,AUS,,W,22,,,,DNF
62,,62,FOWLER,Emily,AUS,,W,27,,,,DNF
63,,63,FITZGERALD,Marie-Louise,AUS,,W,28,,,,DNF
64,,64,VIOTTO,Emma,AUS,,W,38,,,,DNF
65,,67,TAYLOR,Maddison,AUS,,W,25,,,,DNF
66,,70,BONNER,Kate,AUS,,W,24,,,,DNF
67,,71,MORLEY,Sharni,AUS,,W,19,,,,DNF
68,,73,NUSPAN,Elizabeth,AUS,,W,19,,,,DNF
69,,74,HOLMES,Chelsea,AUS,,W,19,,,,DNF
70,,75,BOYCE,Samantha,AUS,,W,28,,,,DNF
71,,76,GREEN,Emma,AUS,,W,19,,,,DNF
72,,77,CUNDY,Amy,AUS,,W,24,,,,DNF
73,,78,BARRY,Victoria,AUS,,W,24,,,,DNF
74,,79,MORRIS,Fiona,AUS,,W,35,,,,DNF
75,,80,ASH,Pip,AUS,,W,28,,,,DNF
76,,81,FORSTER,Alana,AUS,,W,34,,,,DNF
77,,87,BUTTON,Saffron,AUS,,W,24,,,,DNF
78,,88,DE FRANCESCO,Danielle,AUS,,W,28,,,,DNF
