,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,74,SHARAKOVA,Tatsiana,BLR,MINSK CYCLING CLUB,W,36,,,2:51:43,
1,2,94,KOLESAVA,Anastasiya,BLR,WCC TEAM,W,20,,,2:51:44,
2,3,91,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,2:52:12,
3,4,78,ZUYEVA,Maryna,BLR,,W,28,,,2:53:22,
4,5,73,PIVAVARAVA,Palina,BLR,,W,26,,,2:53:25,
5,6,86,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,2:53:26,
6,7,88,KRASKO,Anhelina,BLR,,W,20,,,2:53:27,
7,8,81,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,2:53:29,
8,9,84,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,2:53:30,
9,10,76,SAVENKA,Ina,BLR,,W,26,,,2:54:0,
10,11,87,KAVALIOVA,Hanna,BLR,,W,21,,,2:54:26,
11,12,93,VASILKOVA,Hanna,BLR,,W,19,,,2:56:09,
12,13,72,SOUPEL,Tatsiana,BLR,,W,32,,,2:56:31,
13,14,71,NASKOVICH,Taisa,BLR,MINSK CYCLING CLUB,W,25,,,,DNF
14,15,83,BARANAVA,Anastasiya,BLR,,W,20,,,,DNF
15,16,85,CHUYANKOVA,Hanna,BLR,,W,20,,,,DNF
16,17,89,MOLODOVA,Yanina,BLR,,W,19,,,,DNF
17,18,90,SNAPKOVA,Karyna,BLR,,W,19,,,,DNF
18,19,92,SHAURKA,Alesia,BLR,MINSK CYCLING CLUB,W,19,,,,DNF
19,20,75,KASHAVAYA,Maryna,BLR,,W,31,,,,DNS
20,21,77,AZARKEVICH,Alena,BLR,,W,41,,,,DNS
