,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,94,KOLESAVA,Anastasiya,BLR,WCC TEAM,W,20,,,"35:12,8",
1,2,91,TSERAKH,Hanna,BLR,MINSK CYCLING CLUB,W,22,,,"35:34,7",
2,3,84,KIPTSIKAVA,Nastassia,BLR,MINSK CYCLING CLUB,W,21,,,"36:50,1",
3,4,87,KAVALIOVA,Hanna,BLR,,W,21,,,"36:51,2",
4,5,86,ABRAMENKA,Alina,BLR,MINSK CYCLING CLUB,W,20,,,"37:01,3",
5,6,88,KRASKO,Anhelina,BLR,,W,20,,,"37:42,5",
6,7,93,VASILKOVA,Hanna,BLR,,W,19,,,"38:51,9",
7,8,81,DZIAKOLA,Darya,BLR,MINSK CYCLING CLUB,W,20,,,"39:16,3",
8,9,85,CHUYANKOVA,Hanna,BLR,,W,20,,,39:36.0,
9,10,83,BARANAVA,Anastasiya,BLR,,W,20,,,"39:42,6",
10,11,89,MOLODOVA,Yanina,BLR,,W,19,,,"41:46,7",
11,12,90,SNAPKOVA,Karyna,BLR,,W,19,,,"42:13,9",
12,13,92,SHAURKA,Alesia,BLR,MINSK CYCLING CLUB,W,19,,,"43:39,4",
