,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,30,FISHER-BLACK,Niamh,NZL,BIGLA - KATUSHA,W,20,,,3:05:5,
1,2.0,26,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,3:05:5,
2,3.0,10,ADAM,Teresa,NZL,,W,30,,,3:05:05,
3,4.0,18,MCILROY,Kate,NZL,,W,39,,,3:06:0,
4,5.0,15,MCCARTHY,Kate,NZL,,W,25,,,3:06:0,
5,6.0,35,WOLLASTON,Ally,NZL,,W,19,,,3:10:0,
6,7.0,4,LUCAS,Sharlotte,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,29,,,3:10:1,
7,8.0,29,Swain,Jorja,NZL,,W,19,,,3:10:1,
8,9.0,27,HARVEY,Mikayla,NZL,BIGLA - KATUSHA,W,22,,,3:10:1,
9,10.0,3,EVANS,Alicia,NZL,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,33,,,3:10:1,
10,11.0,14,MACGREGOR,Bronwyn,NZL,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,38,,,3:10:1,
11,12.0,37,THORPE,Ainsley,NZL,,W,22,,,3:10:1,
12,13.0,5,CHRISTIE,Georgia,NZL,,W,23,,,3:10:1,
13,14.0,36,MAXWELL,Samara,NZL,,W,19,,,3:13:2,
14,15.0,9,MCCALLUM,Kirsty,NZL,,W,28,,,3:13:2,
15,16.0,13,LOWE,Courteney,NZL,,W,29,,,3:13:2,
16,17.0,32,NIGHTINGALE,Stella,NZL,,W,19,,,3:14:4,
17,18.0,7,WIGHTMAN,Kate,NZL,,W,27,,,3:14:4,
18,19.0,8,FRASER,Elyse,NZL,,W,32,,,3:14:4,
19,20.0,34,LIPP,Annamarie,NZL,,W,20,,,3:14:4,
20,21.0,25,BARTRAM,Hannah,NZL,,W,19,,,3:14:4,
21,22.0,31,BUISSINK,Poppy,NZL,,W,19,,,3:14:5,
22,23.0,16,PERRY,Georgia,NZL,,W,27,,,3:18:2,
23,,1,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,,DNS
24,,6,PAGE,Kerri-Anne,NZL,,W,32,,,,DNS
25,,2,ANDERSON,Grace,NZL,BEPINK,W,23,,,,DNF
26,,11,CARSWELL,Jane,NZL,,W,26,,,,DNF
27,,12,HODGES,Jessie,NZL,,W,24,,,,DNS
28,,17,STEENS,Rebecca,NZL,,W,31,,,,DNF
29,,19,SHEPPARD,Samara,NZL,,W,30,,,,DNS
30,,23,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,,DNS
31,,38,BOON,Lee,NZL,,W,19,,,,DNF
32,,24,RAY,Olivia,NZL,,W,22,,,,DNF
33,,28,SHIELDS,Nicole,NZL,DNA PRO CYCLING TEAM,W,21,,,,DNF
34,,33,WILKINSON,Anna,NZL,,W,21,,,,DNF
