,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,26,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,27:28.97,
1,2.0,27,HARVEY,Mikayla,NZL,BIGLA - KATUSHA,W,22,,,+15.90,
2,3.0,30,FISHER-BLACK,Niamh,NZL,BIGLA - KATUSHA,W,20,,,+17.44,
3,4.0,35,WOLLASTON,Ally,NZL,,W,19,,,+1:35.64,
4,5.0,25,BARTRAM,Hannah,NZL,,W,19,,,+1:43.79,
5,6.0,39,ARBUCKLE,Libby,NZL,,W,21,,,+2:22.10,
6,7.0,31,BUISSINK,Poppy,NZL,,W,19,,,+3:29.89,
7,8.0,32,NIGHTINGALE,Stella,NZL,,W,19,,,+3:42.55,
8,9.0,38,BOON,Lee,NZL,,W,19,,,+4.03.24,
9,,23,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,,DNS
