,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,102,AALERUD,Katrine,NOR,MOVISTAR TEAM WOMEN,W,26,,,43:52.9,
1,2.0,101,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,44:00.0,
2,3.0,111,OLSEN,Elise Marie,NOR,DROPS,W,19,,,44:37.9,
3,4.0,109,STORHAUG,Monica,NOR,,W,43,,,45:14.0,
4,5.0,103,GULLIKSEN,Line Marie,NOR,,W,30,,,46:14.3,
5,6.0,106,OLSEN,Caroline Thorvik,NOR,,W,26,,,46:25.8,
6,7.0,107,NATHOLMEN,Thrude,NOR,,W,47,,,46:34.3,
7,8.0,114,OLSEN,Ann Helen,NOR,,W,22,,,46:58.3,
8,9.0,104,LYSTAD,Vibeke,NOR,,W,45,,,47:19.2,
9,10.0,118,GJØS,Martine,NOR,,W,20,,,47:27.0,
10,11.0,126,IVERSEN,Ane,NOR,,W,28,,,47:33.0,
11,12.0,117,KARLSEN,Mette,NOR,,W,30,,,47:33.3,
12,13.0,110,UTVIK,Emelie Røe,NOR,,W,21,,,47:50.0,
13,14.0,108,HORNEMAN,Camilla,NOR,,W,43,,,48:16.4,
14,15.0,112,WULST,Marlene,NOR,,W,50,,,48:29.9,
15,16.0,116,ERIKSEN,Malin,NOR,,W,23,,,49:00.9,
16,17.0,105,SKJERSTAD,Emma Kristine,NOR,,W,30,,,49:30.1,
17,18.0,125,FLATAAS,Marie,NOR,,W,32,,,49:32.6,
18,19.0,113,HOLTMOEN,Ingrid Larsen,NOR,,W,32,,,50:05.8,
19,20.0,127,LØVSTAD,Silje,NOR,,W,28,,,50:21.9,
20,21.0,123,TOVSRUD,Åshild,NOR,,W,26,,,50:37.0,
21,22.0,115,TØMTE,Tone-Mette,NOR,,W,19,,,50:40.4,
22,23.0,124,UTNE,Mia B,NOR,,W,19,,,51:55.8,
23,24.0,120,ENGEBRETSEN,Hennie,NOR,,W,19,,,52:03.0,
24,25.0,122,SAMSING,Hedda,NOR,,W,22,,,52:30.3,
25,26.0,121,GABRIELSEN,Merethe,NOR,,W,34,,,53:59.4,
26,,119,LANGØRGEN,Ida,NOR,,W,19,,,,DNF
