,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,11,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,W,38,,,03:34:55,
1,2.0,21,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,00:00:42,
2,3.0,74,MACKAIJ,Floortje,NED,TEAM SUNWEB,W,25,,,00:00:42,
3,4.0,1,VAN DEN BROEK-BLAAK,Chantal,NED,BOELS DOLMANS CYCLINGTEAM,W,31,,,00:00:42,
4,5.0,84,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,00:00:44,
5,6.0,151,BANKS,Elizabeth,GBR,BIGLA - KATUSHA,W,30,,,00:01:13,
6,7.0,22,BUJAK,Eugenia,SLO,ALE' BTC LJUBLJANA,W,31,,,00:01:13,
7,8.0,164,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,00:01:30,
8,9.0,5,VAN DEN BOS,Jip,NED,BOELS DOLMANS CYCLINGTEAM,W,24,,,00:01:30,
9,10.0,61,BIANNIC,Aude,FRA,MOVISTAR TEAM WOMEN,W,29,,,00:01:30,
10,11.0,34,CECCHINI,Elena,ITA,CANYON / /SRAM RACING,W,28,,,00:01:30,
11,12.0,15,ROY,Sarah,AUS,MITCHELTON SCOTT,W,34,,,00:01:30,
12,13.0,155,REUSSER,Marlen,SUI,BIGLA - KATUSHA,W,29,,,00:01:30,
13,14.0,41,KOREVAAR,Jeanne,NED,CCC - LIV,W,24,,,00:01:30,
14,15.0,85,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,00:01:30,
15,16.0,33,BARNES,Hannah,GBR,CANYON / /SRAM RACING,W,27,,,00:01:36,
16,17.0,45,PALADIN,Soraya,ITA,CCC - LIV,W,27,,,00:01:36,
17,18.0,73,KOCH,Franziska,GER,TEAM SUNWEB,W,20,,,00:01:38,
18,19.0,3,MAJERUS,Christine,LUX,BOELS DOLMANS CYCLINGTEAM,W,33,,,00:01:58,
19,20.0,116,PARKINSON,Abby-Mae,GBR,LOTTO SOUDAL LADIES,W,23,,,00:01:58,
20,21.0,13,ELVIN,Gracie,AUS,MITCHELTON SCOTT,W,32,,,00:01:58,
21,22.0,206,WIEBES,Lorena,NED,PARKHOTEL VALKENBURG,W,21,,,00:03:09,
22,23.0,72,JACKSON,Alison,CAN,TEAM SUNWEB,W,32,,,00:03:14,
23,24.0,54,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,00:03:14,
24,25.0,35,CROMWELL,Tiffany,AUS,CANYON / /SRAM RACING,W,32,,,00:03:17,
25,26.0,71,ANDERSEN,Susanne,NOR,TEAM SUNWEB,W,22,,,00:03:17,
26,27.0,46,BERTIZZOLO,Sofia,ITA,CCC - LIV,W,23,,,00:03:20,
27,28.0,23,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,00:03:20,
28,29.0,96,VAN GOGH,Natalie,NED,CHEVALMEIRE CYCLING TEAM,W,46,,,00:03:20,
29,30.0,165,POIDEVIN,Sara,CAN,Rally Cycling,W,24,,,00:03:20,
30,31.0,26,YONAMINE,Eri,JPN,ALE' BTC LJUBLJANA,W,29,,,00:03:20,
31,32.0,112,BRAAM,Danique,NED,LOTTO SOUDAL LADIES,W,25,,,00:04:05,
32,33.0,4,UNEKEN,Lonneke,NED,BOELS DOLMANS CYCLINGTEAM,W,20,,,00:04:10,
33,34.0,75,RIVERA,Coryn,USA,TEAM SUNWEB,W,28,,,00:04:25,
34,35.0,175,PENTON,Sara,SWE,DROPS,W,32,,,00:04:25,
35,36.0,106,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,00:04:25,
36,37.0,113,CHRISTMAS,Danielle,GBR,LOTTO SOUDAL LADIES,W,33,,,00:04:25,
37,38.0,236,SOTO CAMPOS,Catalina Anais,CHI,WCC TEAM,W,19,,,00:04:25,
38,39.0,12,BROWN,Grace,AUS,MITCHELTON SCOTT,W,28,,,00:04:25,
39,40.0,43,MARKUS,Riejanne,NED,CCC - LIV,W,26,,,00:04:25,
40,41.0,2,BUURMAN,Eva,NED,BOELS DOLMANS CYCLINGTEAM,W,26,,,00:04:25,
41,42.0,42,KUIJPERS,Evy,NED,CCC - LIV,W,25,,,00:04:28,
42,43.0,44,DEMEY,Valerie,BEL,CCC - LIV,W,26,,,00:04:28,
43,44.0,14,ENSING,Janneke,NED,MITCHELTON SCOTT,W,34,,,00:04:35,
44,45.0,31,ERATH,Tanja,GER,CANYON / /SRAM RACING,W,31,,,00:05:52,
45,46.0,176,VAN 'T GELOOF,Maria Apolonia,NED,DROPS,W,24,,,00:05:52,
46,47.0,142,TON,Quinty,NED,BIEHLER KRUSH PRO CYCLING,W,22,,,00:05:52,
47,48.0,126,WATERREUS,Kylie,NED,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,W,22,,,00:05:52,
48,49.0,203,MARKUS,Femke,NED,PARKHOTEL VALKENBURG,W,24,,,00:05:52,
49,50.0,105,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,00:05:54,
50,51.0,183,HEINE,Vita,NOR,HITEC PRODUCTS - BIRK SPORT,W,36,,,00:05:54,
51,52.0,215,NEWSOM,Emily,USA,TEAM TIBCO - SILICON VALLEY BANK,W,37,,,00:05:54,
52,53.0,94,SLIK,Rozanne,NED,CHEVALMEIRE CYCLING TEAM,W,29,,,00:05:54,
53,54.0,52,DUVAL,Eugénie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,27,,,00:05:54,
54,55.0,152,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,00:05:54,
55,56.0,201,KASPER,Romy,GER,PARKHOTEL VALKENBURG,W,32,,,00:05:54,
56,57.0,32,BARNES,Alice,GBR,CANYON / /SRAM RACING,W,25,,,00:05:54,
57,58.0,51,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,00:05:54,
58,59.0,205,VAN VEEN,Esther,NED,PARKHOTEL VALKENBURG,W,30,,,00:05:54,
59,60.0,64,GUARISCHI,Barbara,ITA,MOVISTAR TEAM WOMEN,W,30,,,00:05:54,
60,61.0,56,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,00:05:54,
61,62.0,53,FAHLIN,Emilia,SWE,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,32,,,00:05:54,
