,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,81,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,02:52:48,
1,2.0,123,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,02:52:52,
2,3.0,4,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,02:52:54,
3,4.0,51,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,02:52:59,
4,5.0,91,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,02:53:14,
5,6.0,142,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,02:53:14,
6,7.0,122,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,02:53:14,
7,8.0,1,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,02:53:14,
8,9.0,22,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,02:53:14,
9,10.0,61,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,02:53:14,
10,11.0,44,MANEEPHAN,Jutatip,THA,ALE' BTC LJUBLJANA,W,32,,,02:53:14,
11,12.0,85,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,02:53:14,
12,13.0,36,RYAN,Alexis,USA,CANYON / /SRAM RACING,W,26,,,02:53:14,
13,14.0,113,FRAPPORTI,Simona,ITA,BEPINK,W,32,,,02:53:14,
14,15.0,13,ALLEN,Jessica,AUS,MITCHELTON SCOTT,W,27,,,02:53:14,
15,16.0,43,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,02:53:14,
16,17.0,56,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,02:53:14,
17,18.0,101,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,02:53:14,
18,19.0,12,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,02:53:14,
19,20.0,112,ZANARDI,Silvia,ITA,BEPINK,W,20,,,02:53:14,
20,21.0,66,SALAZAR VAZQUEZ,Lizbeth Yareli,MEX,ASTANA WOMEN'S TEAM,W,24,,,02:53:14,
21,22.0,5,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,02:53:14,
