,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,3:04:27,
1,2.0,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,+00,
2,3.0,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,+00,
3,4.0,6,BROWN,Grace,AUS,MITCHELTON SCOTT,W,28,,,+02,
4,5.0,143,GUNNING,Jaime,AUS,,W,22,,,+13,
5,6.0,152,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,+15,
6,7.0,131,NEYLAN,Rachel,AUS,AUSTRALIA,W,38,,,+18,
7,8.0,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,+18,
8,9.0,52,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,+18,
9,10.0,13,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,+18,
10,11.0,61,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,+19,
11,12.0,5,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,+19,
12,13.0,133,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,+24,
13,14.0,75,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,+24,
14,15.0,12,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,+24,
15,16.0,95,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,+24,
16,17.0,24,LUDWIG,Hannah,GER,CANYON / /SRAM RACING,W,20,,,+24,
17,18.0,105,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,+24,
18,19.0,81,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,+24,
19,20.0,124,BUCHANAN,Rushlee,NZL,NEW ZEALAND,W,32,,,+24,
20,21.0,25,PRATT,Jessica,AUS,CANYON / /SRAM RACING,W,23,,,+24,
21,22.0,96,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,+24,
22,23.0,141,RAYNOLDS,Matilda,AUS,,W,33,,,+24,
23,24.0,43,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,+24,
24,25.0,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,+24,
25,26.0,55,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,+24,
26,27.0,82,DOEBEL-HICKOK,Krista,USA,Rally Cycling,W,31,,,+24,
27,28.0,65,LUCAS,Sharlotte,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,29,,,+24,
28,29.0,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,+24,
29,30.0,145,HEATHER,Taryn,AUS,,W,38,,,+24,
30,31.0,45,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,+24,
31,32.0,51,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,+24,
32,33.0,73,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,+24,
33,34.0,153,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,+24,
34,35.0,64,CROOKS,Jenelle,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,+24,
35,36.0,42,GUDERZO,Tatiana,ITA,ALE' BTC LJUBLJANA,W,36,,,+24,
36,37.0,154,WILSON,Bree,AUS,ROXSOLT ATTAQUER,W,33,,,+24,
37,38.0,142,STANNARD,Elizabeth,AUS,,W,23,,,+24,
38,39.0,22,ERATH,Tanja,GER,CANYON / /SRAM RACING,W,31,,,+04:46,
39,40.0,26,RYAN,Alexis,USA,CANYON / /SRAM RACING,W,26,,,+04:46,
40,41.0,125,HODGES,Jessie,NZL,NEW ZEALAND,W,24,,,+04:46,
41,42.0,123,SHIELDS,Nicole,NZL,NEW ZEALAND,W,21,,,+04:48,
42,43.0,114,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,+04:48,
43,44.0,101,DOCX,Mieke,BEL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,24,,,+04:48,
44,45.0,134,FRAIN,Nicole,AUS,AUSTRALIA,W,28,,,+04:48,
45,46.0,91,AHUMADA RIQUELME,Denisse,CHI,,W,27,,,+04:48,
46,47.0,122,SHEATH,Racquel,NZL,NEW ZEALAND,W,26,,,+04:48,
47,48.0,112,ZANARDI,Silvia,ITA,BEPINK,W,20,,,+04:48,
48,49.0,46,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,+04:48,
49,50.0,93,GUTIERREZ ARZALUZ,Ariadna,MEX,AGOLICO,W,29,,,+04:48,
50,51.0,113,FRAPPORTI,Simona,ITA,BEPINK,W,32,,,+04:48,
51,52.0,21,CROMWELL,Tiffany,AUS,CANYON / /SRAM RACING,W,32,,,+04:48,
52,53.0,41,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,+04:48,
53,54.0,53,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,+04:48,
54,55.0,144,BLOOR,Ella,AUS,,W,25,,,+04:48,
55,56.0,66,KESSLER,Nina,NED,TEAM TIBCO - SILICON VALLEY BANK,W,32,,,+04:48,
56,57.0,3,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,+04:48,
57,58.0,4,ALLEN,Jessica,AUS,MITCHELTON SCOTT,W,27,,,+04:48,
58,59.0,156,WRIGHT,Madeline,AUS,ROXSOLT ATTAQUER,W,35,,,+04:48,
59,60.0,83,FRANZ,Heidi,USA,Rally Cycling,W,25,,,+04:48,
60,61.0,84,GANZAR,Leigh Ann,USA,Rally Cycling,W,31,,,+04:48,
61,62.0,54,GUILMAN,Victorie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,24,,,+04:48,
62,63.0,56,WIEL,Jade,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,20,,,+04:48,
63,64.0,36,WORRACK,Trixi,GER,TREK - SEGAFREDO,W,39,,,+04:48,
64,65.0,32,PLICHTA,Anna,POL,TREK - SEGAFREDO,W,28,,,+04:48,
65,66.0,31,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,+04:48,
66,67.0,2,ELVIN,Gracie,AUS,MITCHELTON SCOTT,W,32,,,+04:48,
67,68.0,11,GEORGI,Pfeiffer,GBR,TEAM SUNWEB,W,20,,,+04:48,
68,69.0,15,HENDERSON,Anna,GBR,TEAM SUNWEB,W,22,,,+04:48,
69,70.0,16,SOEK,Julia,NED,TEAM SUNWEB,W,30,,,+04:48,
70,71.0,71,IVANIUK,Maryna,UKR,,W,30,,,+07:44,
71,72.0,135,WHITEHOUSE,Georgia,AUS,AUSTRALIA,W,29,,,+08:36,
72,73.0,104,VAN WITZENBURG,Marieke,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,35,,,+08:36,
73,74.0,126,WOLLASTON,Ally,NZL,NEW ZEALAND,W,19,,,+09:52,
74,75.0,132,EDWARDS,Sophie,AUS,AUSTRALIA,W,20,,,+09:52,
75,76.0,106,HANSELMANN,Nicole,SUI,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,29,,,+09:52,
