,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,35,WINDER,Ruth,USA,TREK - SEGAFREDO,W,27,,,10:11:07,
1,2,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,+05,
2,3,1,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,+06,
3,4,61,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,+17,
4,5,81,HOSKING,Chloe,AUS,Rally Cycling,W,30,,,+30,
5,6,12,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,+32,
6,7,96,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,+33,
7,8,73,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,+34,
8,9,25,PRATT,Jessica,AUS,CANYON / /SRAM RACING,W,23,,,+34,
9,10,152,MULLENS,Peta,AUS,ROXSOLT ATTAQUER,W,32,,,+35,
10,11,13,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,+37,
11,12,52,GILLOW,Shara,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,33,,,+38,
12,13,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,+38,
13,14,131,NEYLAN,Rachel,AUS,AUSTRALIA,W,38,,,+38,
14,15,143,GUNNING,Jaime,AUS,,W,22,,,+40,
15,16,75,SIERRA CANADILLA,Arlenis,CUB,ASTANA WOMEN'S TEAM,W,28,,,+44,
16,17,133,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,+44,
17,18,105,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,+44,
18,19,95,PRIETO CASTAÑEDA,Marcela Elizabeth,MEX,AGOLICO,W,28,,,+44,
19,20,145,HEATHER,Taryn,AUS,,W,38,,,+44,
20,21,82,DOEBEL-HICKOK,Krista,USA,Rally Cycling,W,31,,,+44,
21,22,43,CHURSINA,Anastasiia,RUS,ALE' BTC LJUBLJANA,W,25,,,+45,
22,23,124,BUCHANAN,Rushlee,NZL,NEW ZEALAND,W,32,,,+48,
23,24,45,PINTAR,Urska,SLO,ALE' BTC LJUBLJANA,W,35,,,+50,
24,25,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,+50,
25,26,142,STANNARD,Elizabeth,AUS,,W,23,,,+50,
26,27,55,KITCHEN,Lauren,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,30,,,+57,
27,28,153,HERFOSS,Emily,AUS,ROXSOLT ATTAQUER,W,26,,,+01:03,
28,29,34,WILES,Tayler,USA,TREK - SEGAFREDO,W,31,,,+01:06,
29,30,5,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,+01:30,
30,31,64,CROOKS,Jenelle,NZL,TEAM TIBCO - SILICON VALLEY BANK,W,26,,,+02:48,
31,32,6,BROWN,Grace,AUS,MITCHELTON SCOTT,W,28,,,+04:17,
32,33,51,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,+04:20,
33,34,42,GUDERZO,Tatiana,ITA,ALE' BTC LJUBLJANA,W,36,,,+04:33,
