,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1,14,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,10:11:12,
1,2,96,RAMÍREZ FREGOSO,Andrea,MEX,AGOLICO,W,21,,,+28,
2,3,73,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,+29,
3,4,25,PRATT,Jessica,AUS,CANYON / /SRAM RACING,W,23,,,+29,
4,5,13,LABOUS,Juliette,FRA,TEAM SUNWEB,W,22,,,+32,
5,6,23,HARRIS,Ella,NZL,CANYON / /SRAM RACING,W,22,,,+33,
6,7,143,GUNNING,Jaime,AUS,,W,22,,,+35,
7,8,133,ROSEMAN-GANNON,Ruby,AUS,AUSTRALIA,W,22,,,+39,
8,9,105,MERRICK,Jenna,NZL,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,20,,,+39,
9,10,63,GIGANTE,Sarah,AUS,TEAM TIBCO - SILICON VALLEY BANK,W,20,,,+45,
10,11,142,STANNARD,Elizabeth,AUS,,W,23,,,+45,
11,12,114,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,+05:36,
12,13,15,HENDERSON,Anna,GBR,TEAM SUNWEB,W,22,,,+05:55,
13,14,24,LUDWIG,Hannah,GER,CANYON / /SRAM RACING,W,20,,,+10:58,
14,15,112,ZANARDI,Silvia,ITA,BEPINK,W,20,,,+15:13,
15,16,53,GROSSETETE,Maëlle,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,22,,,+15:18,
16,17,123,SHIELDS,Nicole,NZL,NEW ZEALAND,W,21,,,+18:52,
17,18,41,BOOGAARD,Maaike,NED,ALE' BTC LJUBLJANA,W,22,,,+19:34,
18,19,56,WIEL,Jade,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,20,,,+19:34,
19,20,11,GEORGI,Pfeiffer,GBR,TEAM SUNWEB,W,20,,,+19:34,
20,21,126,WOLLASTON,Ally,NZL,NEW ZEALAND,W,19,,,+23:50,
21,22,132,EDWARDS,Sophie,AUS,AUSTRALIA,W,20,,,+24:01,
22,23,94,MORALES MILANES,Jennifer,CRC,AGOLICO,W,23,,,+29:28,
