,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,141,WIEBES,Lorena,NED,PARKHOTEL VALKENBURG,W,21,,,03:30:05,
1,2.0,1,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,00:00:00,
2,3.0,182,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,00:00:00,
3,4.0,12,FAHLIN,Emilia,SWE,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,32,,,00:00:00,
4,5.0,162,CAMPBELL,Teniel,TTO,VALCAR - TRAVEL & SERVICE,W,23,,,00:00:00,
5,6.0,133,KOOL,Charlotte,NED,NXTG RACING,W,21,,,00:00:00,
6,7.0,43,HENTTALA,Lotta Pauliina,FIN,TREK - SEGAFREDO,W,31,,,00:00:00,
7,8.0,75,FIDANZA,Arianna,ITA,LOTTO SOUDAL LADIES,W,25,,,00:00:00,
8,9.0,165,SANGUINETI,Ilaria,ITA,VALCAR - TRAVEL & SERVICE,W,26,,,00:00:00,
9,10.0,35,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,00:00:00,
10,11.0,62,STEIGENGA,Nicole,NED,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,W,22,,,00:00:00,
11,12.0,55,FOURNIER,Roxane,FRA,CHEVALMEIRE CYCLING TEAM,W,29,,,00:00:00,
12,13.0,73,BEEKHUIS,Teuntje,NED,LOTTO SOUDAL LADIES,W,25,,,00:00:00,
13,14.0,15,DUVAL,Eugénie,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,27,,,00:00:00,
14,15.0,2,BUJAK,Eugenia,SLO,ALE' BTC LJUBLJANA,W,31,,,00:00:00,
15,16.0,27,ROY,Sarah,AUS,MITCHELTON SCOTT,W,34,,,00:00:00,
16,17.0,71,DOM,Annelies,BEL,LOTTO SOUDAL LADIES,W,34,,,00:00:00,
17,18.0,183,REUSSER,Marlen,SUI,BIGLA - KATUSHA,W,29,,,00:00:00,
18,19.0,224,RAVNDAL,Birgitte,NOR,,W,29,,,00:00:00,
