,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,,VAN VLEUTEN,Annemiek,NED,MITCHELTON SCOTT,W,38,,,4:03:54,
1,2.0,,GARCIA CAÑELLAS,Margarita Victo,ESP,ALE' BTC LJUBLJANA,W,36,,,+22,
2,3.0,,THOMAS,Leah,USA,EQUIPE PAULE KA,W,31,,,+1:53,
3,4.0,,VAN DER BREGGEN,Anna,NED,BOELS DOLMANS CYCLINGTEAM,W,30,,,+2:05,
4,5.0,,LONGO BORGHINI,Elisa,ITA,TREK - SEGAFREDO,W,29,,,+2:11,
5,6.0,,VOS,Marianne,NED,CCC - LIV,W,33,,,+2:26,
6,7.0,,LUDWIG,Cecilie Uttrup,DEN,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,25,,,+2:40,
7,8.0,,BRENNAUER,Lisa,GER,CERATIZIT - WNT PRO CYCLING TEAM,W,32,,,+3:26,
8,9.0,,CANUEL,Karol-Ann,CAN,BOELS DOLMANS CYCLINGTEAM,W,32,,,+4:20,
9,10.0,,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,+5:20,
10,11.0,,LELEIVYTE,Rasa,LTU,AROMITALIA - BASSO BIKES - VAIANO,W,32,,,+5:21,
11,12.0,,HARVEY,Mikayla,NZL,EQUIPE PAULE KA,W,22,,,+5:21,
12,13.0,,SPRATT,Amanda,AUS,MITCHELTON SCOTT,W,33,,,+5:55,
13,14.0,,BUJAK,Eugenia,SLO,ALE' BTC LJUBLJANA,W,31,,,+6:02,
14,15.0,,SANTESTEBAN GONZALEZ,Ane,ESP,CERATIZIT - WNT PRO CYCLING TEAM,W,30,,,+6:23,
15,16.0,,LIPPERT,Liane,GER,TEAM SUNWEB,W,22,,,+6:27,
16,17.0,,VAN DIJK,Ellen,NED,TREK - SEGAFREDO,W,33,,,+6:43,
17,18.0,,STULTIENS,Sabrina,NED,CCC - LIV,W,27,,,+6:59,
18,19.0,,SHAPIRA,Omer,ISR,CANYON / /SRAM RACING,W,26,,,+7:08,
19,20.0,,VOLLERING,Demi,NED,PARKHOTEL VALKENBURG,W,24,,,+8:06,
20,21.0,,RAGUSA,Katia,ITA,ASTANA WOMEN'S TEAM,W,23,,,+8:07,
21,22.0,,CONFALONIERI,Maria Giulia,ITA,CERATIZIT - WNT PRO CYCLING TEAM,W,27,,,+8:16,
22,23.0,,CANVELLI,Vania,ITA,BEPINK,W,23,,,+8:18,
23,24.0,,VAN DE VELDE,Julie,BEL,LOTTO SOUDAL LADIES,W,27,,,+8:24,
24,25.0,,MERINO CORTAZAR,Eider,ESP,MOVISTAR TEAM WOMEN,W,26,,,+8:28,
25,26.0,,CHABBEY,Elise,SUI,EQUIPE PAULE KA,W,27,,,+8:32,
26,27.0,,PEÑUELA MARTINEZ,Diana Carolina,COL,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,+8:35,
27,28.0,,AMIALIUSIK,Alena,BLR,CANYON / /SRAM RACING,W,31,,,+8:45,
28,29.0,,VAN DEN BROEK-BLAAK,Chantal,NED,BOELS DOLMANS CYCLINGTEAM,W,31,,,+8:45,
29,30.0,,CHAPMAN,Brodie,AUS,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,29,,,+9:28,
30,31.0,,BORGHESI,Letizia,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,+9:34,
31,32.0,,GUDERZO,Tatiana,ITA,ALE' BTC LJUBLJANA,W,36,,,+9:55,
32,33.0,,BALSAMO,Elisa,ITA,VALCAR - TRAVEL & SERVICE,W,22,,,+10:28,
33,34.0,,SANGUINETI,Ilaria,ITA,VALCAR - TRAVEL & SERVICE,W,26,,,+10:28,
34,35.0,,PALADIN,Soraya,ITA,CCC - LIV,W,27,,,+11:03,
35,36.0,,PIRRONE,Elena,ITA,VALCAR - TRAVEL & SERVICE,W,21,,,+11:36,
36,37.0,,DEIGNAN,Elizabeth,GBR,TREK - SEGAFREDO,W,32,,,+11:49,
37,38.0,,KOCH,Franziska,GER,TEAM SUNWEB,W,20,,,+13:17,
38,39.0,,BARNES,Hannah,GBR,CANYON / /SRAM RACING,W,27,,,+13:17,
39,40.0,,BANKS,Elizabeth,GBR,EQUIPE PAULE KA,W,30,,,+13:17,
40,41.0,,KOREVAAR,Jeanne,NED,CCC - LIV,W,24,,,+13:47,
41,42.0,,STEPHENS,Lauren,USA,TEAM TIBCO - SILICON VALLEY BANK,W,34,,,+14:26,
42,43.0,,KENNEDY,Lucy,AUS,MITCHELTON SCOTT,W,32,,,+17:52,
43,44.0,,MUZIC,Evita,FRA,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,W,21,,,+19:09,
44,45.0,,CATARZI,Giorgia,ITA,BEPINK,W,19,,,+19:30,
45,,,PARKINSON,Abby-Mae,GBR,LOTTO SOUDAL LADIES,W,23,,,,OTL
46,,,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,,OTL
47,,,FISHER-BLACK,Niamh,NZL,EQUIPE PAULE KA,W,20,,,,OTL
48,,,TOMASI,Laura,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,,OTL
49,,,SILVESTRI,Debora,ITA,TOP GIRLS FASSA BORTOLO,W,22,,,,OTL
50,,,MAJERUS,Christine,LUX,BOELS DOLMANS CYCLINGTEAM,W,33,,,,OTL
51,,,CIPRIANI,Carmela,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,24,,,,OTL
52,,,FIDANZA,Arianna,ITA,LOTTO SOUDAL LADIES,W,25,,,,OTL
53,,,SWINKELS,Karlijn,NED,PARKHOTEL VALKENBURG,W,22,,,,OTL
54,,,KIRCHMANN,Leah,CAN,TEAM SUNWEB,W,30,,,,OTL
55,,,KASPER,Romy,GER,PARKHOTEL VALKENBURG,W,32,,,,OTL
56,,,PISCIALI,Francesca,ITA,EUROTARGET - BIANCHI - VITTORIA,W,22,,,,OTL
57,,,HÁJKOVÁ,Markéta,CZE,BEPINK,W,20,,,,OTL
58,,,ALLEN,Jessica,AUS,MITCHELTON SCOTT,W,27,,,,DNF
59,,,TENNIGLO,Moniek,NED,MITCHELTON SCOTT,W,32,,,,DNF
60,,,WILLIAMS,Georgia,NZL,MITCHELTON SCOTT,W,27,,,,DNF
61,,,TREVISI,Anna,ITA,ALE' BTC LJUBLJANA,W,28,,,,DNF
62,,,YONAMINE,Eri,JPN,ALE' BTC LJUBLJANA,W,29,,,,DNF
63,,,BROGI,Angelica,ITA,AROMITALIA - BASSO BIKES - VAIANO,W,22,,,,DNF
