,Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
0,1.0,1,BASTIANELLI,Marta,ITA,ALE' BTC LJUBLJANA,W,33,,,2:18:04,
1,2.0,13,GUARISCHI,Barbara,ITA,MOVISTAR TEAM WOMEN,W,30,,,2:18:04,
2,3.0,44,CAMPBELL,Teniel,TTO,VALCAR - TRAVEL & SERVICE,W,23,,,2:18:04,
3,4.0,23,FIDANZA,Arianna,ITA,LOTTO SOUDAL LADIES,W,25,,,2:18:04,
4,5.0,55,ASENCIO,Laura,FRA,CERATIZIT - WNT PRO CYCLING TEAM,W,22,,,2:18:04,
5,6.0,36,JØRGENSEN,Emma Cecilie Norsgaard,DEN,BIGLA - KATUSHA,W,21,,,2:18:04,
6,7.0,65,ERAUD,Severine,FRA,Charente - Maritime Women Cycling,W,25,,,2:18:04,
7,8.0,181,FRANCKE,Agnieta,NED,,W,30,,,2:18:04,
8,9.0,83,ZANARDI,Silvia,ITA,BEPINK,W,20,,,2:18:04,
9,10.0,106,VAN VELZEN,Bryony,NED,CICLOTEL,W,24,,,2:18:04,
10,11.0,22,BRAAM,Danique,NED,LOTTO SOUDAL LADIES,W,25,,,2:18:04,
11,12.0,21,VANDENBULCKE,Jesse,BEL,LOTTO SOUDAL LADIES,W,24,,,2:18:04,
12,13.0,103,VAN HAAFTEN,Kirstie,NED,CICLOTEL,W,21,,,2:18:04,
13,14.0,91,KLEMENT,Melanie,NED,BIEHLER KRUSH PRO CYCLING,W,26,,,2:18:04,
14,15.0,151,RODRIGUEZ REVERT,Sofia,ESP,SOPELA WOMEN'S TEAM,W,21,,,2:18:04,
15,16.0,11,ERIĆ,Jelena,SRB,MOVISTAR TEAM WOMEN,W,24,,,2:18:04,
16,17.0,71,ISASI CRISTOBAL,Ziortza,ESP,ENEICAT -RBH GLOBAL,W,25,,,2:18:04,
17,18.0,61,GRANGIER,India,FRA,Charente - Maritime Women Cycling,W,20,,,2:18:04,
