UCI ROAD Teams;;;;;;;08.08.2020;;
Code;Name;Team Category;Country;Continent;Format;Email;Website;;
AGO;AGOLICO;CTW;MEX;AME;;dplaza0307@gmail.com;https://www.facebook.com/SwapitAgolicoCyclingProTe;;
VAI;AROMITALIA - BASSO BIKES - VAIANO;CTW;ITA;EUR;;VELOCLUBVAIANO@VIRGILIO.IT;HTTP://WWW.VELOCLUBVAIANO.IT;;
ASA;ASTANA WOMEN'S TEAM;CTW;KAZ;ASI;;team@astanawomen.com;HTTPS://www.astanawomen.com;;
BPK;BEPINK;CTW;ITA;EUR;;info@bepink.eu;http://www.bepink.eu;;
BKP;BIEHLER KRUSH PRO CYCLING;CTW;NED;EUR;;hans.blom@i4cycling.nl;http://www.talentcycling.nl;;
BDU;BIZKAIA - DURANGO;CTW;ESP;EUR;;bizkaiadurango@gmail.com;http://www.duranguesa.com;;
DLT;BOELS DOLMANS CYCLINGTEAM;CTW;NED;EUR;;finance@boelsdolmanscyclingteam.com;http://www.boelsdolmanscyclingteam.com;;
CAT;CAMS - TIFOSI;CTW;GBR;EUR;;andrew@perkinsgarages.co.uk;http://www.camstifosi.com;;
WNT;CERATIZIT - WNT PRO CYCLING TEAM;CTW;GER;EUR;;procycling-team@wnt.com;https://www.ceratizit-wnt-pro-cycling.com;;
CMW;CHARENTE - MARITIME WOMEN CYCLING;CTW;FRA;EUR;;cmwomencycling@gmail.com;http://www.charente-maritime-cycling.fr;;
CCT;CHEVALMEIRE CYCLING TEAM;CTW;BEL;EUR;;Info@chevalmeire-cycling.be;https://www.chevalmeire-cycling.be;;
GPC;CHINA LIV PRO CYCLING;CTW;HKG;ASI;;china-team@live.cn;http://cycling-sports.com;;
CIM;CICLISMO MUNDIAL;CTW;BEL;EUR;;britt@wt-cm.be;http://www.ciclismomundial.be;;
CTL;CICLOTEL;CTW;BEL;EUR;;gerry@ciclotel.com;https://ciclotel.com/;;
CGS;COGEAS METTLER LOOK PRO CYCLING TEAM;CTW;RUS;EUR;;r.contreras@cogeas.ch;https://www.cogeascycling.com/;;
CDO;CRONOS - CASA DORADA WOMEN CYCLING;CTW;ESP;EUR;;icuesta13@casadoradawct.es;http://casadoradawct.es/;;
DNA;DNA PRO CYCLING TEAM;CTW;USA;AME;;k4racingteam@gmail.com;https://www.dnacyclingteam.com;;
DVE;DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING;CTW;BEL;EUR;;mb2301@hotmail.com;http://doltcini-vaneycksport.com/;;
DRP;DROPS;CTW;GBR;EUR;;bob@dropscycling.com;http://www.dropscycling.com;;
EIC;ENEICAT -RBH GLOBAL;CTW;ESP;EUR;;eneritzitu@hotmail.com;HTTP://FACEBOOK.ENEICAT.COM;;
EPK;EQUIPE PAULE KA;CTW;SUI;EUR;;thomas.campana@cuagsports.com;https://www.equipepauleka.com;;
SBT;EUROTARGET - BIANCHI - VITTORIA;CTW;ITA;EUR;;info@stillalluminio.it;http://www.stillbike.it;;
HPU;HITEC PRODUCTS - BIRK SPORT;CTW;NOR;EUR;;karl.lima@hitecproducts.no;https://teamhitecproducts.no;;
ILP;INSTAFUND LA PRIMA;CTW;CAN;AME;;reception@instafund.com;https://www.laprimaracing.com/;;
LSL;LOTTO SOUDAL LADIES;CTW;BEL;EUR;;danyschoonbaert@hotmail.com;https://lottosoudal.be/en/ladies;;
LCW;LVIV CYCLING TEAM;CTW;UKR;EUR;;lvivcycling@gmail.com;https://www.facebook.com/Lviv-Cycling-Team-2007999;;
MTG;MACOGEP TORNATECH GIRONDINS DE BORDEAUX;CTW;CAN;AME;;gepenarroya@gmail.com;http://www.macogeptornatech.ca;;
MAT;MASSI TACTIC WOMEN TEAM;CTW;ESP;EUR;;angel@massitacticwomen.cat;http://www.clubciclistabaixter.com;;
MEM;MEMORIAL - SANTOS;CTW;BRA;AME;;ciclismomemorialsantos@gmail.com;http://www.memorialciclismo.com.br;;
MCC;MINSK CYCLING CLUB;CTW;BLR;EUR;;info@minskcyclingclub.com;http://www.minskcyclingclub.com;;
MUL;MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM;CTW;BEL;EUR;;autoglaswetteren@skynet.be;https://www.multumcyclingteam.be;;
NXG;NXTG RACING;CTW;NED;EUR;;info@pave76.nl;http://www.nxtgracing.com;;
PHV;PARKHOTEL VALKENBURG;CTW;NED;EUR;;mail@pushingdreams.nl;http://www.pushingdreams.nl;;
RLW;RALLY CYCLING;CTW;USA;AME;;info@circuitsport.com;http://www.rallycycling.com;;
RMC;RIO MIERA - CANTABRIA DEPORTE;CTW;ESP;EUR;;Meruelo.ciclismo.femenino@hotmail.com;http://www.riomierameruelo.com/;;
RXS;ROXSOLT ATTAQUER;CTW;AUS;OCE;;hello@roxsolt.cc;https://www.roxsolt.cc;;
SER;SERVETTO - PIUMATE - BELTRAMI TSA;CTW;ITA;EUR;;info@atbike.it;http://www.atbike.it;;
SSR;SESTRORETSK;CTW;RUS;EUR;;kukuss1@yandex.ru;http://sportschool.sestroretsk.info/;;
SWT;SOPELA WOMEN'S TEAM;CTW;ESP;EUR;;sociedadeportivaugeraga@euskalnet.net;http://www.equipociclistaugeraga.com/;;
ARK;TEAM ARKEA;CTW;FRA;EUR;;gabrielle.rimasson@pcb.bzh;https://www.team-arkea-samsic.fr;;
ILU;TEAM ILLUMINATE;CTW;USA;AME;;info@illuminatethebike.com;https://www.illuminatethebike.com;;
TIB;TEAM TIBCO - SILICON VALLEY BANK;CTW;USA;AME;;actionlj@gmail.com;https://www.teamtibco-svb.com/;;
TWC;THAILAND WOMEN'S CYCLING TEAM;CTW;THA;ASI;;tcctwc2017@gmail.com;http://www.sino.co.th/sino/www/index.php;;
TOP;TOP GIRLS FASSA BORTOLO;CTW;ITA;EUR;;lucio.ioghi@gmail.com;http://www.gstopgirls.com;;
VAL;VALCAR - TRAVEL & SERVICE;CTW;ITA;EUR;;TEAMVALCAR@GMAIL.COM;HTTPS://WWW.TEAM-VALCAR.COM;;
VIB;VIB - NATURAL GREATNESS;CTW;BRN;ASI;;ccgusano@hotmail.com;https://www.fundacionmarcelinooliver.org/;;
WCC;WCC TEAM;CTW;---;---;;cmc@uci.ch;https://www.uci.org/world-cycling-centre/about;;
